Country,Agency,Rating,Outlook,Date
New Zealand,Fitch,AA,Stable,2002-03-01
New Zealand,Fitch,AA+,Stable,2002-08-01
New Zealand,Fitch,AA+,Negative,2009-07-01
New Zealand,Fitch,AA,Stable,2011-09-01
New Zealand,Fitch,AA,Stable,2011-11-01
New Zealand,Fitch,AA,Stable,2012-01-01
New Zealand,Fitch,AA,Stable,2012-02-01
New Zealand,Fitch,AA,Stable,2012-05-01
New Zealand,Fitch,AA,Stable,2012-06-01
New Zealand,Fitch,AA,Stable,2012-07-01
New Zealand,Fitch,AA,Stable,2013-02-01
New Zealand,Fitch,AA,Stable,2013-03-01
New Zealand,Fitch,AA,Stable,2013-05-01
New Zealand,Fitch,AA,Stable,2013-06-01
New Zealand,Fitch,AA,Stable,2013-07-01
New Zealand,Fitch,AA,Stable,2013-09-01
New Zealand,Fitch,AA,Stable,2013-10-01
New Zealand,Fitch,AA,Stable,2013-11-01
New Zealand,Fitch,AA,Stable,2014-01-01
New Zealand,Fitch,AA,Stable,2014-02-01
New Zealand,Fitch,AA,Stable,2014-04-01
New Zealand,Fitch,AA,Stable,2014-05-01
New Zealand,Fitch,AA,Stable,2014-07-01
New Zealand,Fitch,AA,Stable,2016-01-01
New Zealand,Fitch,AA,Stable,2016-07-01
New Zealand,Fitch,AA,Stable,2016-08-01
New Zealand,Fitch,AA,Stable,2017-02-01
New Zealand,Fitch,AA,Stable,2018-02-01
New Zealand,Fitch,AA,Stable,2019-01-01
New Zealand,Fitch,AA+,Stable,2022-09-01
New Zealand,Fitch,AA+,Stable,2023-09-01
New Zealand,Fitch,AA+,Stable,2024-08-01
New Zealand,Fitch,AA+,Stable,2025-08-01
New Zealand,Fitch,AA+,Negative,2026-03-01
New Zealand,Moody's,Baa,Stable,1965-07-01
New Zealand,Moody's,Aa,Stable,1975-07-01
New Zealand,Moody's,Aaa,Stable,1977-06-01
New Zealand,Moody's,Aa,Stable,1984-10-01
New Zealand,Moody's,Aa3,Stable,1986-08-01
New Zealand,Moody's,Aa3,Positive watch,1994-02-01
New Zealand,Moody's,Aa2,Stable,1994-03-01
New Zealand,Moody's,Aa2,Positive watch,1996-01-01
New Zealand,Moody's,Aa1,Stable,1996-02-01
New Zealand,Moody's,Aa1,Negative watch,1998-06-01
New Zealand,Moody's,Aa2,Stable,1998-09-01
New Zealand,Moody's,Aaa,Stable,2002-10-01
New Zealand,Moody's,Aaa,Stable,2003-11-01
New Zealand,Moody's,Aaa,Stable,2017-03-01
New Zealand,Moody's,Aaa,Stable,2018-09-01
New Zealand,Moody's,Aaa,Stable,2020-04-01
New Zealand,Moody's,Aaa,Stable,2020-04-01
New Zealand,Moody's,Aaa,Stable,2022-04-01
New Zealand,Moody's,Aaa,Stable,2024-04-01
New Zealand,Moody's,Aaa,Stable,2024-11-01
New Zealand,Moody's,Aaa,Negative,2026-04-01
New Zealand,S&P,AA,Negative,1989-06-01
New Zealand,S&P,AA-,Stable,1991-01-01
New Zealand,S&P,AA-,Stable,1992-08-01
New Zealand,S&P,AA-,Stable,1993-04-01
New Zealand,S&P,AA-,Positive,1994-07-01
New Zealand,S&P,AA,Stable,1994-12-01
New Zealand,S&P,AA,Stable,1995-11-01
New Zealand,S&P,AA+,Stable,1996-01-01
New Zealand,S&P,AA+,Negative,1998-09-01
New Zealand,S&P,AA+,Stable,2001-03-01
New Zealand,S&P,AA+,Stable,2005-11-01
New Zealand,S&P,AA+,Stable,2006-04-01
New Zealand,S&P,AA+,Negative,2009-01-01
New Zealand,S&P,AA+,Stable,2009-05-01
New Zealand,S&P,AA+,Negative,2010-11-01
New Zealand,S&P,AA,Stable,2011-09-01
New Zealand,S&P,AA,Positive,2019-01-01
New Zealand,S&P,AA+,Stable,2021-02-01
