Country,Agency,Rating,Outlook,Date
Nicaragua,Fitch,B-,Negative,2020-06-01
Nicaragua,Fitch,B,Stable,2025-05-01
Nicaragua,Moody's,Caa1,Stable,2003-11-01
Nicaragua,Moody's,B2,Stable,2015-07-01
Nicaragua,Moody's,B2,Positive,2017-07-01
Nicaragua,Moody's,B2,Stable,2018-06-01
Nicaragua,Moody's,B2,Negative,2019-01-01
Nicaragua,Moody's,B3,Stable,2020-02-01
Nicaragua,Moody's,B3,Stable,2020-02-01
Nicaragua,Moody's,B3,Stable,2022-03-01
Nicaragua,Moody's,B2,Stable,2024-03-01
Nicaragua,Moody's,B2,Stable,2026-02-01
Nicaragua,S&P,B+,Stable,2016-02-01
Nicaragua,S&P,B-,Stable,2019-11-01
