Country,Agency,Rating,Outlook,Date
Nigeria,Fitch,BB-,Stable,2006-01-01
Nigeria,Fitch,BB-,Stable,2008-05-01
Nigeria,Fitch,BB-,Negative,2010-10-01
Nigeria,Fitch,BB-,Negative,2011-01-01
Nigeria,Fitch,BB-,Stable,2012-02-01
Nigeria,Fitch,BB-,Stable,2012-10-01
Nigeria,Fitch,BB-,Stable,2013-07-01
Nigeria,Fitch,BB-,Stable,2013-10-01
Nigeria,Fitch,BB-,Stable,2014-04-01
Nigeria,Fitch,BB-,Stable,2014-10-01
Nigeria,Fitch,BB-,Negative,2015-09-01
Nigeria,Fitch,B+,Stable,2016-06-01
Nigeria,Fitch,B+,Stable,2016-07-01
Nigeria,Fitch,B+,Negative,2017-01-01
Nigeria,Fitch,B+,Negative,2017-08-01
Nigeria,Fitch,B+,Negative,2018-05-01
Nigeria,Fitch,B+,Stable,2019-06-01
Nigeria,Fitch,B+,Negative,2019-12-01
Nigeria,Fitch,B,Negative,2020-04-01
Nigeria,Fitch,B,Negative,2020-04-01
Nigeria,Fitch,B,Stable,2020-09-01
Nigeria,Fitch,B,Stable,2021-03-01
Nigeria,Fitch,B,Stable,2022-03-01
Nigeria,Fitch,B-,Stable,2022-11-01
Nigeria,Fitch,B-,Stable,2023-05-01
Nigeria,Fitch,B-,Stable,2023-11-01
Nigeria,Fitch,B-,Positive,2024-05-01
Nigeria,Fitch,B-,Positive,2024-11-01
Nigeria,Fitch,B,Stable,2025-04-01
Nigeria,Fitch,B,Stable,2025-10-01
Nigeria,Fitch,B,Stable,2026-04-01
Nigeria,Moody's,Ba3,Stable,2012-11-01
Nigeria,Moody's,Ba3,Stable,2015-12-01
Nigeria,Moody's,Ba3,Negative watch,2016-03-01
Nigeria,Moody's,B1,Stable,2016-04-01
Nigeria,Moody's,B1,Stable,2016-12-01
Nigeria,Moody's,B2,Stable,2017-11-01
Nigeria,Moody's,B3,Negative,2019-12-01
Nigeria,Moody's,B2,Negative,2020-04-01
Nigeria,Moody's,B2,Negative,2020-04-01
Nigeria,Moody's,B2,Stable,2021-11-01
Nigeria,Moody's,B3,Under Review,2022-11-01
Nigeria,Moody's,Caa1,Stable,2023-02-01
Nigeria,Moody's,Caa1,Positive,2023-12-01
Nigeria,Moody's,Caa3,Stable,2024-02-01
Nigeria,Moody's,Caa1,Positive,2024-06-01
Nigeria,Moody's,B3,Stable,2025-05-01
Nigeria,S&P,BB-,Stable,2006-02-01
Nigeria,S&P,BB-,Negative,2009-03-01
Nigeria,S&P,B+,Stable,2009-08-01
Nigeria,S&P,B+,Positive,2011-12-01
Nigeria,S&P,BB-,Stable,2012-11-01
Nigeria,S&P,BB-,Negative watch,2014-03-01
Nigeria,S&P,BB-,Negative,2014-03-01
Nigeria,S&P,BB-,Negative watch,2015-02-01
Nigeria,S&P,B+,Stable,2015-03-01
Nigeria,S&P,B+,Negative,2016-03-01
Nigeria,S&P,B,Stable,2016-09-01
Nigeria,S&P,B,Negative,2020-02-01
Nigeria,S&P,B-,Stable,2020-03-01
Nigeria,S&P,B-,Stable,2020-03-01
Nigeria,S&P,B-,Positive,2025-11-01
Nigeria,S&P,B-,NR,2025-11-01
Nigeria,S&P,B,Stable,2026-05-01
