Country,Agency,Rating,Outlook,Date
Norway,Fitch,AAA,Stable,2000-09-01
Norway,Fitch,AAA,Stable,2011-07-01
Norway,Fitch,AAA,Stable,2011-10-01
Norway,Fitch,AAA,Stable,2012-06-01
Norway,Fitch,AAA,Stable,2013-03-01
Norway,Fitch,AAA,Stable,2013-06-01
Norway,Fitch,AAA,Stable,2013-09-01
Norway,Fitch,AAA,Stable,2013-11-01
Norway,Fitch,AAA,Stable,2014-01-01
Norway,Fitch,AAA,Stable,2014-05-01
Norway,Fitch,AAA,Stable,2014-10-01
Norway,Fitch,AAA,Stable,2015-10-01
Norway,Fitch,AAA,Stable,2016-04-01
Norway,Fitch,AAA,Stable,2016-07-01
Norway,Fitch,AAA,Stable,2016-10-01
Norway,Fitch,AAA,Stable,2017-03-01
Norway,Fitch,AAA,Stable,2017-09-01
Norway,Fitch,AAA,Stable,2018-03-01
Norway,Fitch,AAA,Stable,2018-09-01
Norway,Fitch,AAA,Stable,2019-03-01
Norway,Fitch,AAA,Stable,2019-08-01
Norway,Fitch,AAA,Stable,2020-02-01
Norway,Fitch,AAA,Stable,2020-08-01
Norway,Fitch,AAA,Stable,2021-02-01
Norway,Fitch,AAA,Stable,2021-08-01
Norway,Fitch,AAA,Stable,2022-08-01
Norway,Fitch,AAA,Stable,2023-01-01
Norway,Fitch,AAA,Stable,2023-06-01
Norway,Fitch,AAA,Stable,2023-12-01
Norway,Fitch,AAA,Stable,2024-06-01
Norway,Fitch,AAA,Stable,2025-06-01
Norway,Fitch,AAA,Stable,2026-06-01
Norway,Moody's,Aaa,Stable,1978-01-01
Norway,Moody's,Aa1,Stable,1987-07-01
Norway,Moody's,Aaa,Stable,1997-09-01
Norway,Moody's,Aaa,Stable,2016-03-01
Norway,Moody's,Aaa,Stable,2018-06-01
Norway,Moody's,Aaa,Stable,2022-05-01
Norway,Moody's,Aaa,Stable,2024-06-01
Norway,S&P,AAA,Negative,1989-06-01
Norway,S&P,AAA,Stable,1990-11-01
Norway,S&P,AAA,Stable,1990-11-01
Norway,S&P,AAA,Stable,1992-07-01
Norway,S&P,AAA,Stable,2005-11-01
Norway,S&P,AAA,Developing,2020-02-01
Norway,S&P,AAA,Developing,2020-02-01
