Country,Agency,Rating,Outlook,Date
Oman,Fitch,BBB,Stable,2017-01-01
Oman,Fitch,BBB,Negative,2017-06-01
Oman,Fitch,BBB-,Negative,2017-12-01
Oman,Fitch,BBB-,Negative,2018-06-01
Oman,Fitch,BB+,Stable,2018-12-01
Oman,Fitch,BB+,Stable,2019-07-01
Oman,Fitch,BB,Negative,2020-03-01
Oman,Fitch,BB-,Negative,2020-08-01
Oman,Fitch,BB-,Negative,2021-05-01
Oman,Fitch,BB-,Stable,2021-12-01
Oman,Fitch,BB,Stable,2022-08-01
Oman,Fitch,BB,Positive,2023-04-01
Oman,Fitch,BB+,Stable,2023-09-01
Oman,Fitch,BB+,Stable,2024-05-01
Oman,Fitch,BB+,Positive,2024-12-01
Oman,Fitch,BBB-,Stable,2025-12-01
Oman,Moody's,Baa2,Stable,2003-11-01
Oman,Moody's,Baa1,Under Review,2006-09-01
Oman,Moody's,A3,Positive,2006-10-01
Oman,Moody's,A2,Stable,2007-07-01
Oman,Moody's,A1,Negative,2015-02-01
Oman,Moody's,A3,Under Review,2016-02-01
Oman,Moody's,Baa1,Stable,2016-05-01
Oman,Moody's,Baa2,Negative,2017-07-01
Oman,Moody's,Baa3,Negative,2018-03-01
Oman,Moody's,Ba1,Negative,2019-03-01
Oman,Moody's,Ba2,Under Review,2020-03-01
Oman,Moody's,Ba2,Under Review,2020-03-01
Oman,Moody's,Ba2,Stable,2020-03-01
Oman,Moody's,Ba3,Negative,2020-06-01
Oman,Moody's,Ba3,Stable,2021-10-01
Oman,Moody's,Ba3,Positive,2022-10-01
Oman,Moody's,Ba2,Positive,2023-05-01
Oman,Moody's,Ba1,Stable,2023-12-01
Oman,Moody's,Ba1,Positive,2024-08-01
Oman,Moody's,Baa3,Stable,2025-07-01
Oman,S&P,BBB-,Stable,1996-02-01
Oman,S&P,BBB-,Negative,1999-03-01
Oman,S&P,BBB-,Stable,1999-12-01
Oman,S&P,BBB,Stable,2001-02-01
Oman,S&P,BBB+,Stable,2004-11-01
Oman,S&P,BBB+,Stable,2005-11-01
Oman,S&P,BBB+,Stable,2006-04-01
Oman,S&P,A-,Stable,2006-09-01
Oman,S&P,A,Stable,2007-01-01
Oman,S&P,A,Negative watch,2011-03-01
Oman,S&P,A,Negative,2011-07-01
Oman,S&P,A,Stable,2012-07-01
Oman,S&P,A,Stable,2013-12-01
Oman,S&P,A,Negative,2014-12-01
Oman,S&P,A-,Stable,2015-02-01
Oman,S&P,BBB+,Negative,2015-11-01
Oman,S&P,BBB-,Stable,2016-02-01
Oman,S&P,BBB-,Negative,2016-11-01
Oman,S&P,BB+,Negative,2017-05-01
Oman,S&P,BB,Stable,2017-11-01
Oman,S&P,BB,Negative,2019-04-01
Oman,S&P,BB-,Negative,2020-03-01
Oman,S&P,BB-,Negative,2020-03-01
Oman,S&P,B+,Stable,2020-10-01
Oman,S&P,BB+,Stable,2023-09-01
Oman,S&P,BB+,Positive,2024-03-01
