Country,Agency,Rating,Outlook,Date
Pakistan,Fitch,B,Stable,2015-09-01
Pakistan,Fitch,B,Stable,2016-04-01
Pakistan,Fitch,B,Stable,2016-07-01
Pakistan,Fitch,B,Stable,2017-02-01
Pakistan,Fitch,B,Negative,2018-01-01
Pakistan,Fitch,B-,Stable,2018-12-01
Pakistan,Fitch,B-,Stable,2019-06-01
Pakistan,Fitch,B-,Stable,2020-01-01
Pakistan,Fitch,B-,Stable,2020-08-01
Pakistan,Fitch,B-,Stable,2021-06-01
Pakistan,Fitch,B-,Stable,2022-02-01
Pakistan,Fitch,B-,Negative,2022-07-01
Pakistan,Fitch,CCC+,NR,2022-10-01
Pakistan,Fitch,CCC-,NR,2023-02-01
Pakistan,Fitch,CCC,NR,2023-07-01
Pakistan,Fitch,CCC,NR,2023-12-01
Pakistan,Fitch,CCC+,NR,2024-07-01
Pakistan,Fitch,B-,Stable,2025-04-01
Pakistan,Fitch,B-,Stable,2025-04-01
Pakistan,Fitch,B-,Stable,2026-01-01
Pakistan,Moody's,Caa1,Stable,2001-10-01
Pakistan,Moody's,B2,Stable,2003-11-01
Pakistan,Moody's,B2,Positive,2005-01-01
Pakistan,Moody's,B1,Stable,2006-11-01
Pakistan,Moody's,B1,Negative,2007-11-01
Pakistan,Moody's,B2,Stable,2008-05-01
Pakistan,Moody's,B2,Negative,2008-09-01
Pakistan,Moody's,B3,Under Review,2008-10-01
Pakistan,Moody's,B3,Negative,2008-12-01
Pakistan,Moody's,B3,Stable,2009-08-01
Pakistan,Moody's,Caa1,Negative,2012-07-01
Pakistan,Moody's,Caa1,Stable,2014-07-01
Pakistan,Moody's,Caa1,Positive,2015-03-01
Pakistan,Moody's,B3,Stable,2015-06-01
Pakistan,Moody's,B3,Stable,2017-07-01
Pakistan,Moody's,B3,Negative,2018-06-01
Pakistan,Moody's,B3,Stable,2019-12-01
Pakistan,Moody's,B3,Under Review,2020-05-01
Pakistan,Moody's,B3,Stable,2020-08-01
Pakistan,Moody's,B3,Negative,2022-05-01
Pakistan,Moody's,Caa1,Negative,2022-10-01
Pakistan,Moody's,Caa3,Stable,2023-02-01
Pakistan,Moody's,Caa2,Positive,2024-08-01
Pakistan,Moody's,Caa1,Stable,2025-08-01
Pakistan,Moody's,Caa1,Stable,2025-08-01
Pakistan,S&P,B+,Positive,1994-11-01
Pakistan,S&P,B+,Stable,1995-08-01
Pakistan,S&P,B+,Stable,1997-01-01
Pakistan,S&P,B+,Negative,1998-01-01
Pakistan,S&P,B+,Negative watch,1998-05-01
Pakistan,S&P,B-,Negative watch,1998-06-01
Pakistan,S&P,CCC,Negative watch,1998-07-01
Pakistan,S&P,CCC-,Negative,1998-10-01
Pakistan,S&P,CC,Negative,1998-12-01
Pakistan,S&P,B-,Stable,1999-12-01
Pakistan,S&P,B,Stable,2002-12-01
Pakistan,S&P,B,Positive,2003-12-01
Pakistan,S&P,B+,Stable,2004-11-01
Pakistan,S&P,B+,Stable,2005-11-01
Pakistan,S&P,B+,Stable,2005-11-01
Pakistan,S&P,B+,Positive,2005-12-01
Pakistan,S&P,B+,Positive,2006-12-01
Pakistan,S&P,B+,Stable,2007-07-01
Pakistan,S&P,B+,Negative,2007-11-01
Pakistan,S&P,B,Negative,2008-05-01
Pakistan,S&P,CCC+,Negative,2008-10-01
Pakistan,S&P,CCC,Developing,2008-11-01
Pakistan,S&P,CCC+,Developing,2008-12-01
Pakistan,S&P,B-,Stable,2009-08-01
Pakistan,S&P,B-,Stable,2012-07-01
Pakistan,S&P,B-,Positive,2015-05-01
Pakistan,S&P,B,Stable,2016-10-01
Pakistan,S&P,B-,Stable,2019-02-01
Pakistan,S&P,NR,NR,2019-04-01
Pakistan,S&P,B-,Stable,2025-07-01
