Country,Agency,Rating,Outlook,Date
Panama,Fitch,BB+,Positive,2000-02-01
Panama,Fitch,BB+,Stable,2000-09-01
Panama,Fitch,BB+,Negative,2002-09-01
Panama,Fitch,BB+,Negative,2002-10-01
Panama,Fitch,BB+,Stable,2003-12-01
Panama,Fitch,BB+,Positive,2008-01-01
Panama,Fitch,BBB-,Positive,2010-03-01
Panama,Fitch,BBB,Stable,2011-06-01
Panama,Fitch,BBB,Stable,2012-05-01
Panama,Fitch,BBB,Stable,2013-05-01
Panama,Fitch,BBB,Stable,2014-03-01
Panama,Fitch,BBB,Stable,2014-09-01
Panama,Fitch,BBB,Stable,2016-02-01
Panama,Fitch,BBB,Stable,2016-07-01
Panama,Fitch,BBB,Stable,2017-02-01
Panama,Fitch,BBB,Stable,2018-02-01
Panama,Fitch,BBB,Stable,2019-07-01
Panama,Fitch,BBB-,Stable,2022-01-01
Panama,Fitch,BBB-,Stable,2022-10-01
Panama,Fitch,BBB-,Negative,2023-10-01
Panama,Fitch,BB+,Stable,2024-03-01
Panama,Fitch,BB+,Stable,2024-12-01
Panama,Fitch,BB+,Stable,2025-12-01
Panama,Moody's,Ba1,Stable,2003-11-01
Panama,Moody's,Ba1,Under Review,2010-02-01
Panama,Moody's,Baa3,Stable,2010-06-01
Panama,Moody's,Baa3,Positive,2011-08-01
Panama,Moody's,Baa2,Stable,2012-10-01
Panama,Moody's,Baa2,Stable,2015-12-01
Panama,Moody's,Baa2,Positive,2017-09-01
Panama,Moody's,Baa1,Stable,2019-03-01
Panama,Moody's,Baa1,Negative,2020-10-01
Panama,Moody's,Baa2,Stable,2021-03-01
Panama,Moody's,Baa2,Negative,2022-11-01
Panama,Moody's,Baa3,Stable,2023-10-01
Panama,Moody's,Baa3,Negative,2024-11-01
Panama,Moody's,Baa3,Negative,2025-11-01
Panama,S&P,BB+,Stable,1997-01-01
Panama,S&P,BB+,Stable,1997-04-01
Panama,S&P,BB+,Negative,1999-12-01
Panama,S&P,BB+,Stable,2000-07-01
Panama,S&P,BB,Stable,2001-11-01
Panama,S&P,BB,Negative,2003-03-01
Panama,S&P,BB,Stable,2005-02-01
Panama,S&P,BB,Stable,2005-11-01
Panama,S&P,BB,Positive,2007-05-01
Panama,S&P,BB+,Stable,2008-02-01
Panama,S&P,BB+,Positive,2009-11-01
Panama,S&P,BBB-,Stable,2010-05-01
Panama,S&P,BBB-,Positive,2011-07-01
Panama,S&P,BBB,Stable,2012-07-01
Panama,S&P,BBB,Positive,2018-07-01
Panama,S&P,BBB+,Stable,2019-04-01
Panama,S&P,NR,NR,2019-06-01
Panama,S&P,BBB+,Developing,2019-07-01
Panama,S&P,NR,NR,2020-01-01
Panama,S&P,NR,NR,2020-01-01
Panama,S&P,NR,NR,2020-02-01
Panama,S&P,NR,NR,2020-02-01
Panama,S&P,BBB+,Negative,2020-04-01
Panama,S&P,BBB,Negative,2021-08-01
Panama,S&P,BBB,Stable,2023-08-01
Panama,S&P,NR,NR,2025-03-01
Panama,S&P,BBB-,NR,2026-04-01
