Country,Agency,Rating,Outlook,Date
Papua New Guinea,Fitch,B+,Stable,2000-09-01
Papua New Guinea,Fitch,B,Stable,2003-07-01
Papua New Guinea,Fitch,B,Positive,2007-01-01
Papua New Guinea,Fitch,B+,Stable,2008-03-01
Papua New Guinea,Moody's,B1,Stable,1998-12-01
Papua New Guinea,Moody's,B1,Stable,2003-11-01
Papua New Guinea,Moody's,B1,Negative,2015-05-01
Papua New Guinea,Moody's,B1,Negative watch,2016-02-01
Papua New Guinea,Moody's,B2,Stable,2016-04-01
Papua New Guinea,Moody's,B2,Negative,2018-03-01
Papua New Guinea,Moody's,B2,Stable,2020-03-01
Papua New Guinea,Moody's,B2,Stable,2021-04-01
Papua New Guinea,Moody's,B2,Stable,2022-11-01
Papua New Guinea,Moody's,B2,Stable,2024-07-01
Papua New Guinea,S&P,B+,Stable,1999-01-01
Papua New Guinea,S&P,B+,Negative watch,1999-07-01
Papua New Guinea,S&P,B+,Negative,1999-09-01
Papua New Guinea,S&P,B+,Stable,2000-06-01
Papua New Guinea,S&P,B+,Negative,2001-03-01
Papua New Guinea,S&P,B,Stable,2001-08-01
Papua New Guinea,S&P,B,Negative,2002-10-01
Papua New Guinea,S&P,B,Stable,2003-12-01
Papua New Guinea,S&P,B,Positive,2004-12-01
Papua New Guinea,S&P,B,Positive,2005-11-01
Papua New Guinea,S&P,B,Positive,2005-11-01
Papua New Guinea,S&P,B,Stable,2005-12-01
Papua New Guinea,S&P,B+,Stable,2007-09-01
Papua New Guinea,S&P,B+,Stable,2011-08-01
Papua New Guinea,S&P,B+,Negative,2012-01-01
Papua New Guinea,S&P,B+,Stable,2012-10-01
Papua New Guinea,S&P,B+,Negative,2015-10-01
Papua New Guinea,S&P,B,Stable,2018-04-01
Papua New Guinea,S&P,NR,NR,2019-03-01
Papua New Guinea,S&P,B-,Stable,2020-04-01
Papua New Guinea,S&P,B-,Stable,2021-04-01
Papua New Guinea,S&P,B-,Negative,2021-06-01
