Country,Agency,Rating,Outlook,Date
Paraguay,Fitch,BB-,Stable,2013-01-01
Paraguay,Fitch,BB,Stable,2016-07-01
Paraguay,Fitch,BB,Stable,2016-12-01
Paraguay,Fitch,BB,Stable,2016-12-01
Paraguay,Fitch,BB,Positive,2017-12-01
Paraguay,Fitch,BB+,Stable,2019-02-01
Paraguay,Fitch,BB+,Stable,2019-12-01
Paraguay,Fitch,BB+,Stable,2020-12-01
Paraguay,Fitch,BB+,Stable,2021-11-01
Paraguay,Fitch,BB+,Stable,2023-11-01
Paraguay,Fitch,BB+,Stable,2024-10-01
Paraguay,Fitch,BB+,Positive,2025-10-01
Paraguay,Moody's,Caa1,Negative,2003-04-01
Paraguay,Moody's,Caa1,Under Review,2007-11-01
Paraguay,Moody's,B3,Stable,2009-04-01
Paraguay,Moody's,B3,Under Review,2010-06-01
Paraguay,Moody's,B1,Stable,2010-12-01
Paraguay,Moody's,Ba3,Stable,2013-01-01
Paraguay,Moody's,Ba2,Stable,2014-02-01
Paraguay,Moody's,Ba1,Stable,2015-03-01
Paraguay,Moody's,Ba1,Stable,2016-06-01
Paraguay,Moody's,Ba1,Stable,2018-06-01
Paraguay,Moody's,Ba1,Stable,2020-06-01
Paraguay,Moody's,Ba1,Positive,2022-07-01
Paraguay,Moody's,Ba1,Stable,2024-07-01
Paraguay,S&P,BB-,Stable,1995-10-01
Paraguay,S&P,BB-,Negative,1998-11-01
Paraguay,S&P,B+,Negative,1999-02-01
Paraguay,S&P,B,Negative,1999-06-01
Paraguay,S&P,B-,Negative,2002-11-01
Paraguay,S&P,B-,Stable,2004-07-01
Paraguay,S&P,B-,Stable,2005-11-01
Paraguay,S&P,B-,Positive,2006-02-01
Paraguay,S&P,B-,Positive,2006-04-01
Paraguay,S&P,B,Stable,2007-06-01
Paraguay,S&P,B+,Positive,2010-08-01
Paraguay,S&P,BB-,Stable,2011-08-01
Paraguay,S&P,BB-,Negative watch,2012-06-01
Paraguay,S&P,BB-,Stable,2012-08-01
Paraguay,S&P,BB,Stable,2014-06-01
Paraguay,S&P,BB,Positive,2015-06-01
Paraguay,S&P,BB,Stable,2016-06-01
Paraguay,S&P,BB+,Stable,2024-01-01
Paraguay,S&P,BB+,NR,2025-02-01
Paraguay,S&P,BBB-,NR,2026-02-01
