Country,Agency,Rating,Outlook,Date
Peru,Fitch,BB,Stable,2000-09-01
Peru,Fitch,BB,Negative,2000-11-01
Peru,Fitch,BB-,Negative,2001-04-01
Peru,Fitch,BB-,Stable,2002-04-01
Peru,Fitch,BB-,Negative,2002-08-01
Peru,Fitch,BB-,Stable,2003-10-01
Peru,Fitch,BB-,Positive,2004-06-01
Peru,Fitch,BB,Stable,2004-11-01
Peru,Fitch,BB,Positive,2005-11-01
Peru,Fitch,BB+,Stable,2006-08-01
Peru,Fitch,BB+,Positive,2007-03-01
Peru,Fitch,BBB-,Stable,2008-04-01
Peru,Fitch,BBB-,Positive,2010-06-01
Peru,Fitch,BBB,Stable,2011-11-01
Peru,Fitch,BBB,Stable,2012-11-01
Peru,Fitch,BBB+,Stable,2013-10-01
Peru,Fitch,BBB+,Stable,2014-09-01
Peru,Fitch,BBB+,Stable,2015-09-01
Peru,Fitch,BBB+,Stable,2016-03-01
Peru,Fitch,BBB+,Stable,2016-07-01
Peru,Fitch,BBB+,Stable,2016-09-01
Peru,Fitch,BBB+,Stable,2017-03-01
Peru,Fitch,BBB+,Stable,2017-09-01
Peru,Fitch,BBB+,Stable,2017-09-01
Peru,Fitch,BBB+,Stable,2018-03-01
Peru,Fitch,BBB+,Stable,2019-03-01
Peru,Fitch,BBB+,Stable,2019-09-01
Peru,Fitch,BBB+,Stable,2020-03-01
Peru,Fitch,BBB+,Stable,2020-06-01
Peru,Fitch,BBB+,Stable,2020-06-01
Peru,Fitch,BBB+,Negative,2020-12-01
Peru,Fitch,B+,Stable,2021-10-01
Peru,Fitch,BBB,Negative,2022-10-01
Peru,Fitch,BBB,Negative,2023-04-01
Peru,Fitch,BBB,Negative,2023-10-01
Peru,Fitch,BBB,Negative,2024-04-01
Peru,Fitch,BBB,Stable,2024-11-01
Peru,Fitch,BBB,Stable,2025-10-01
Peru,Moody's,B2,Positive,1998-01-01
Peru,Moody's,Ba3,Stable,2002-01-01
Peru,Moody's,Ba3,Stable,2003-11-01
Peru,Moody's,Ba3,Positive,2006-11-01
Peru,Moody's,Ba3,Under Review,2007-03-01
Peru,Moody's,Ba2,Stable,2007-07-01
Peru,Moody's,Ba1,Under Review,2009-09-01
Peru,Moody's,Baa3,Stable,2009-12-01
Peru,Moody's,Baa3,Positive,2011-03-01
Peru,Moody's,A3,Stable,2014-07-01
Peru,Moody's,A3,Stable,2017-08-01
Peru,Moody's,A3,Stable,2019-06-01
Peru,Moody's,A3,Negative,2021-05-01
Peru,Moody's,Baa1,Stable,2021-09-01
Peru,Moody's,Baa1,Negative,2023-02-01
Peru,Moody's,Baa1,Stable,2024-09-01
Peru,S&P,BB,Stable,1997-12-01
Peru,S&P,BB,Negative watch,2000-05-01
Peru,S&P,BB,Stable,2000-06-01
Peru,S&P,BB,Negative,2000-09-01
Peru,S&P,BB-,Stable,2000-11-01
Peru,S&P,BB-,Positive,2002-01-01
Peru,S&P,BB-,Stable,2002-07-01
Peru,S&P,BB,Stable,2004-06-01
Peru,S&P,BB,Positive,2005-07-01
Peru,S&P,BB,Positive,2005-11-01
Peru,S&P,BB,Positive,2005-11-01
Peru,S&P,BB+,Stable,2006-11-01
Peru,S&P,BB+,Positive,2007-07-01
Peru,S&P,BBB-,Stable,2008-07-01
Peru,S&P,BBB-,Positive,2010-08-01
Peru,S&P,BBB,Stable,2011-08-01
Peru,S&P,BBB,Stable,2012-07-01
Peru,S&P,BBB,Positive,2012-08-01
Peru,S&P,BBB+,Stable,2013-08-01
Peru,S&P,NR,NR,2019-03-01
Peru,S&P,BBB+,Developing,2019-08-01
Peru,S&P,BBB+,Negative,2021-10-01
Peru,S&P,BBB,Stable,2022-03-01
Peru,S&P,BBB,Stable,2024-04-01
Peru,S&P,BBB-,NR,2025-06-01
