Country,Agency,Rating,Outlook,Date
Philippines,Fitch,BB+,Stable,2000-09-01
Philippines,Fitch,BB+,Negative,2001-01-01
Philippines,Fitch,BB+,Stable,2001-03-01
Philippines,Fitch,BB+,Negative,2002-11-01
Philippines,Fitch,BB,Stable,2003-06-01
Philippines,Fitch,BB,Negative,2004-12-01
Philippines,Fitch,BB,Stable,2005-05-01
Philippines,Fitch,BB,Negative,2005-07-01
Philippines,Fitch,BB,Stable,2006-02-01
Philippines,Fitch,BB+,Stable,2011-06-01
Philippines,Fitch,BB+,Stable,2011-07-01
Philippines,Fitch,BB+,Stable,2011-10-01
Philippines,Fitch,BB+,Stable,2012-01-01
Philippines,Fitch,BB+,Stable,2012-06-01
Philippines,Fitch,BB+,Stable,2013-02-01
Philippines,Fitch,BBB-,Stable,2013-03-01
Philippines,Fitch,BBB-,Stable,2014-01-01
Philippines,Fitch,BBB-,Stable,2014-03-01
Philippines,Fitch,BBB-,Positive,2015-09-01
Philippines,Fitch,BBB-,Positive,2016-04-01
Philippines,Fitch,BBB-,Positive,2016-07-01
Philippines,Fitch,BBB-,Positive,2017-03-01
Philippines,Fitch,BBB,Stable,2017-12-01
Philippines,Fitch,BBB,Stable,2018-07-01
Philippines,Fitch,BBB,Stable,2018-12-01
Philippines,Fitch,BBB,Stable,2019-01-01
Philippines,Fitch,BBB,Stable,2019-04-01
Philippines,Fitch,BBB,Stable,2019-04-01
Philippines,Fitch,BBB,Stable,2019-05-01
Philippines,Fitch,BBB,Developing,2020-01-01
Philippines,Fitch,BBB,Stable,2020-01-01
Philippines,Fitch,BBB,Developing,2020-01-01
Philippines,Fitch,BBB,Stable,2020-01-01
Philippines,Fitch,BBB,Positive,2020-02-01
Philippines,Fitch,BBB,Positive,2020-02-01
Philippines,Fitch,BBB,Stable,2020-05-01
Philippines,Fitch,BBB,Stable,2021-01-01
Philippines,Fitch,BBB,Negative,2021-07-01
Philippines,Fitch,BBB,Negative,2022-02-01
Philippines,Fitch,BBB,Negative,2022-10-01
Philippines,Fitch,BBB,Stable,2023-05-01
Philippines,Fitch,BBB,Stable,2023-11-01
Philippines,Fitch,BBB,Stable,2024-06-01
Philippines,Fitch,BBB,Stable,2025-04-01
Philippines,Fitch,BBB,Stable,2026-01-01
Philippines,Moody's,Ba1,Stable,2002-02-01
Philippines,Moody's,Ba1,Negative,2002-09-01
Philippines,Moody's,Ba1,Under Review,2003-11-01
Philippines,Moody's,Ba2,Negative,2004-01-01
Philippines,Moody's,Ba2,Under Review,2004-11-01
Philippines,Moody's,B1,Stable,2005-02-01
Philippines,Moody's,B1,Negative,2005-07-01
Philippines,Moody's,B1,Stable,2006-11-01
Philippines,Moody's,B1,Positive,2008-01-01
Philippines,Moody's,Ba3,Stable,2009-07-01
Philippines,Moody's,Ba3,Positive,2011-01-01
Philippines,Moody's,Ba2,Stable,2011-06-01
Philippines,Moody's,Ba2,Positive,2012-05-01
Philippines,Moody's,Ba1,Stable,2012-10-01
Philippines,Moody's,Ba1,Under Review,2013-07-01
Philippines,Moody's,Baa3,Positive,2013-10-01
Philippines,Moody's,Baa2,Stable,2014-12-01
Philippines,Moody's,Baa2,Stable,2017-06-01
Philippines,Moody's,Baa2,Stable,2018-07-01
Philippines,Moody's,Baa2,Stable,2019-01-01
Philippines,Moody's,Baa2,Stable,2019-04-01
Philippines,Moody's,Baa2,Stable,2019-08-01
Philippines,Moody's,Baa2,Developing,2020-01-01
Philippines,Moody's,Baa2,Developing,2020-01-01
Philippines,Moody's,Baa2,Developing,2020-05-01
Philippines,Moody's,Baa2,Stable,2020-07-01
Philippines,Moody's,Baa2,Stable,2020-12-01
Philippines,Moody's,Baa2,Stable,2022-09-01
Philippines,Moody's,Baa2,Stable,2024-08-01
Philippines,Moody's,Baa2,Stable,2026-01-01
Philippines,S&P,BB-,Stable,1993-07-01
Philippines,S&P,BB-,Positive,1994-11-01
Philippines,S&P,BB-,Positive,1995-03-01
Philippines,S&P,BB,Positive,1995-05-01
Philippines,S&P,BB+,Positive,1997-02-01
Philippines,S&P,BB+,Stable,1997-09-01
Philippines,S&P,BB+,Negative,1998-02-01
Philippines,S&P,BB+,Stable,1999-01-01
Philippines,S&P,BB+,Negative,2000-10-01
Philippines,S&P,BB+,Stable,2002-04-01
Philippines,S&P,BB+,Negative,2002-10-01
Philippines,S&P,BB,Stable,2003-04-01
Philippines,S&P,BB,Stable,2004-07-01
Philippines,S&P,BB-,Stable,2005-01-01
Philippines,S&P,BB-,Negative,2005-07-01
Philippines,S&P,BB-,Negative,2005-11-01
Philippines,S&P,BB-,Negative,2005-11-01
Philippines,S&P,BB-,Stable,2006-02-01
Philippines,S&P,BB,Stable,2010-11-01
Philippines,S&P,BB,Positive,2011-12-01
Philippines,S&P,BB+,Stable,2012-07-01
Philippines,S&P,BB+,Positive,2012-12-01
Philippines,S&P,BBB-,Stable,2013-05-01
Philippines,S&P,BBB,Stable,2014-05-01
Philippines,S&P,BBB,Positive,2018-04-01
Philippines,S&P,BBB+,Stable,2019-04-01
Philippines,S&P,NR,NR,2019-06-01
Philippines,S&P,BBB+,Developing,2019-08-01
Philippines,S&P,BBB+,Developing,2020-01-01
Philippines,S&P,BBB+,Developing,2020-01-01
Philippines,S&P,NR,NR,2025-03-01
Philippines,S&P,BBB+,NR,2026-01-01
Philippines,S&P,BBB+,Stable,2026-04-01
