Country,Agency,Rating,Outlook,Date
Poland,Fitch,BB+,Positive,1996-04-01
Poland,Fitch,BBB+,Stable,2000-09-01
Poland,Fitch,BBB+,Positive,2003-11-01
Poland,Fitch,BBB+,Stable,2004-05-01
Poland,Fitch,BBB+,Positive,2005-03-01
Poland,Fitch,A-,Stable,2007-01-01
Poland,Fitch,A-,Stable,2011-04-01
Poland,Fitch,A-,Stable,2011-10-01
Poland,Fitch,A-,Stable,2012-01-01
Poland,Fitch,A-,Stable,2012-02-01
Poland,Fitch,A-,Stable,2012-05-01
Poland,Fitch,A-,Stable,2012-06-01
Poland,Fitch,A-,Stable,2013-08-01
Poland,Fitch,A-,Stable,2013-10-01
Poland,Fitch,A-,Stable,2013-11-01
Poland,Fitch,A-,Stable,2014-01-01
Poland,Fitch,A-,Stable,2014-02-01
Poland,Fitch,A-,Stable,2014-06-01
Poland,Fitch,A-,Stable,2014-08-01
Poland,Fitch,A-,Stable,2014-09-01
Poland,Fitch,A-,Stable,2016-01-01
Poland,Fitch,A-,Stable,2016-07-01
Poland,Fitch,A-,Stable,2017-01-01
Poland,Fitch,A-,Stable,2017-07-01
Poland,Fitch,A-,Stable,2017-12-01
Poland,Fitch,A-,Stable,2018-06-01
Poland,Fitch,A-,Stable,2019-03-01
Poland,Fitch,A-,Stable,2019-09-01
Poland,Fitch,A-,Stable,2020-03-01
Poland,Fitch,A-,Stable,2020-03-01
Poland,Fitch,A-,Stable,2020-09-01
Poland,Fitch,A-,Stable,2021-03-01
Poland,Fitch,A-,Stable,2021-08-01
Poland,Fitch,A-,Stable,2022-02-01
Poland,Fitch,A-,Stable,2022-07-01
Poland,Fitch,A-,Stable,2023-01-01
Poland,Fitch,A-,Stable,2023-06-01
Poland,Fitch,A-,Stable,2023-11-01
Poland,Fitch,A-,Stable,2024-05-01
Poland,Fitch,A-,Stable,2024-11-01
Poland,Fitch,A-,Stable,2025-03-01
Poland,Fitch,A-,Negative,2025-09-01
Poland,Fitch,A-,Negative,2026-02-01
Poland,Moody's,Baa3,Stable,1995-06-01
Poland,Moody's,Baa1,Stable,1999-09-01
Poland,Moody's,A2,Stable,2002-11-01
Poland,Moody's,A2,Stable,2015-05-01
Poland,Moody's,A2,Negative,2016-05-01
Poland,Moody's,A2,Stable,2017-05-01
Poland,Moody's,A2,Stable,2019-04-01
Poland,Moody's,NR,NR,2019-10-01
Poland,Moody's,A2,Stable,2021-04-01
Poland,Moody's,A2,Stable,2022-04-01
Poland,Moody's,A2,Stable,2024-03-01
Poland,Moody's,A2,Negative,2025-09-01
Poland,S&P,BB,Positive,1995-06-01
Poland,S&P,BBB-,Stable,1996-04-01
Poland,S&P,BBB-,Positive,1997-06-01
Poland,S&P,BBB,Positive,1999-06-01
Poland,S&P,BBB+,Stable,2000-05-01
Poland,S&P,BBB+,Positive,2001-04-01
Poland,S&P,BBB+,Stable,2001-08-01
Poland,S&P,BBB+,Stable,2002-07-01
Poland,S&P,BBB+,Negative,2003-06-01
Poland,S&P,BBB+,Negative,2003-11-01
Poland,S&P,BBB+,Stable,2004-10-01
Poland,S&P,BBB+,Positive,2005-03-01
Poland,S&P,BBB+,Positive,2005-11-01
Poland,S&P,BBB+,Stable,2006-04-01
Poland,S&P,A-,Stable,2007-03-01
Poland,S&P,A-,Positive,2008-02-01
Poland,S&P,A-,Stable,2008-10-01
Poland,S&P,A-,Positive,2015-02-01
Poland,S&P,BBB+,Negative,2016-01-01
Poland,S&P,BBB+,Stable,2016-12-01
Poland,S&P,BBB+,Positive,2018-04-01
Poland,S&P,A-,Stable,2018-10-01
Poland,S&P,A-,NR,2019-03-01
Poland,S&P,NR,NR,2019-05-01
Poland,S&P,NR,NR,2019-07-01
Poland,S&P,NR,NR,2019-10-01
Poland,S&P,NR,NR,2019-11-01
Poland,S&P,A-,Developing,2020-01-01
Poland,S&P,A-,Developing,2020-01-01
Poland,S&P,A-,Developing,2020-02-01
Poland,S&P,A-,Developing,2020-02-01
Poland,S&P,A-,NR,2025-07-01
Poland,S&P,A-,NR,2026-01-01
