Country,Agency,Rating,Outlook,Date
Portugal,Fitch,AA,Stable,2000-09-01
Portugal,Fitch,AA,Negative,2005-06-01
Portugal,Fitch,AA,Stable,2007-05-01
Portugal,Fitch,AA,Negative,2009-09-01
Portugal,Fitch,AA-,Negative,2010-03-01
Portugal,Fitch,A+,Negative,2010-12-01
Portugal,Fitch,A-,Negative,2011-03-01
Portugal,Fitch,BBB-,Negative,2011-04-01
Portugal,Fitch,BBB-,Negative,2011-10-01
Portugal,Fitch,BB+,Negative,2011-11-01
Portugal,Fitch,BB+,Negative,2012-02-01
Portugal,Fitch,BB+,Negative,2012-05-01
Portugal,Fitch,BB+,Negative,2012-11-01
Portugal,Fitch,BB+,Negative,2013-08-01
Portugal,Fitch,BB+,Negative,2013-10-01
Portugal,Fitch,BB+,Stable,2016-03-01
Portugal,Fitch,BB+,Stable,2016-07-01
Portugal,Fitch,BB+,Stable,2016-08-01
Portugal,Fitch,BB+,Stable,2017-02-01
Portugal,Fitch,BB+,Positive,2017-06-01
Portugal,Fitch,BBB,Stable,2017-12-01
Portugal,Fitch,BBB,Stable,2018-06-01
Portugal,Fitch,BBB,Positive,2019-05-01
Portugal,Fitch,BBB,Positive,2019-11-01
Portugal,Fitch,BBB,Stable,2020-04-01
Portugal,Fitch,BBB,Stable,2020-11-01
Portugal,Fitch,BBB,Stable,2021-05-01
Portugal,Fitch,BBB,Stable,2021-11-01
Portugal,Fitch,BBB,Positive,2022-05-01
Portugal,Fitch,BBB+,Stable,2022-10-01
Portugal,Fitch,BBB+,Stable,2023-04-01
Portugal,Fitch,A-,Stable,2023-10-01
Portugal,Fitch,A-,Stable,2024-03-01
Portugal,Fitch,A-,Positive,2024-09-01
Portugal,Fitch,A-,Positive,2025-03-01
Portugal,Fitch,A,Stable,2025-09-01
Portugal,Fitch,A,Positive,2026-03-01
Portugal,Moody's,A1,Stable,1986-11-01
Portugal,Moody's,Aa3,Stable,1997-02-01
Portugal,Moody's,Aa2,Stable,1998-05-01
Portugal,Moody's,Aa2,Negative,2009-10-01
Portugal,Moody's,Aa2,Negative watch,2010-05-01
Portugal,Moody's,A1,Stable,2010-07-01
Portugal,Moody's,A1,Negative watch,2010-12-01
Portugal,Moody's,A3,Negative,2011-03-01
Portugal,Moody's,Baa1,Negative watch,2011-04-01
Portugal,Moody's,Ba2,Negative,2011-07-01
Portugal,Moody's,Ba3,Negative,2012-02-01
Portugal,Moody's,Ba3,Negative,2013-03-01
Portugal,Moody's,Ba3,Stable,2013-11-01
Portugal,Moody's,Ba2,Positive watch,2014-05-01
Portugal,Moody's,Ba1,Stable,2014-07-01
Portugal,Moody's,Ba1,Positive,2017-09-01
Portugal,Moody's,Baa3,Stable,2018-10-01
Portugal,Moody's,Baa3,Positive,2019-08-01
Portugal,Moody's,Baa2,Stable,2021-09-01
Portugal,Moody's,Baa2,Positive,2023-05-01
Portugal,Moody's,A3,Stable,2023-11-01
Portugal,Moody's,A3,Stable,2025-11-01
Portugal,S&P,A,Positive,1989-06-01
Portugal,S&P,A+,Stable,1991-10-01
Portugal,S&P,AA-,Stable,1993-05-01
Portugal,S&P,AA-,Positive,1997-10-01
Portugal,S&P,AA-,Positive,1998-05-01
Portugal,S&P,AA,Stable,1998-12-01
Portugal,S&P,AA,Negative,2004-10-01
Portugal,S&P,AA-,Stable,2005-06-01
Portugal,S&P,AA-,Stable,2005-11-01
Portugal,S&P,AA-,Negative watch,2009-01-01
Portugal,S&P,A+,Stable,2009-01-01
Portugal,S&P,A+,Negative,2009-12-01
Portugal,S&P,A-,Negative,2010-04-01
Portugal,S&P,A-,Negative watch,2010-11-01
Portugal,S&P,BBB-,Negative,2011-03-01
Portugal,S&P,BBB,Negative watch,2011-03-01
Portugal,S&P,BBB-,Negative watch,2011-12-01
Portugal,S&P,BB,Negative,2012-01-01
Portugal,S&P,BB,Stable,2013-03-01
Portugal,S&P,BB,Negative,2013-07-01
Portugal,S&P,BB,Negative watch,2013-09-01
Portugal,S&P,BB,Negative,2014-01-01
Portugal,S&P,BB,Stable,2014-05-01
Portugal,S&P,BB,Positive,2015-03-01
Portugal,S&P,BB+,Stable,2015-09-01
Portugal,S&P,BBB-,Stable,2017-09-01
Portugal,S&P,BBB-,Positive,2018-09-01
Portugal,S&P,BBB,Stable,2019-03-01
Portugal,S&P,BBB,Positive,2019-09-01
Portugal,S&P,BBB+,Positive,2023-09-01
Portugal,S&P,A-,Positive,2024-03-01
Portugal,S&P,A,Positive,2025-02-01
Portugal,S&P,A+,Stable,2025-08-01
Portugal,S&P,A+,Positive,2026-02-01
