Country,Agency,Rating,Outlook,Date
Qatar,Fitch,AA,Stable,2015-08-01
Qatar,Fitch,AA,Stable,2016-03-01
Qatar,Fitch,AA,Stable,2016-07-01
Qatar,Fitch,AA,Stable,2016-09-01
Qatar,Fitch,AA,Negative,2017-06-01
Qatar,Fitch,AA-,Negative,2017-08-01
Qatar,Fitch,AA-,Negative,2017-08-01
Qatar,Fitch,AA-,Stable,2018-06-01
Qatar,Fitch,AA,Stable,2018-12-01
Qatar,Fitch,AA-,Stable,2019-05-01
Qatar,Fitch,AA,Negative,2019-12-01
Qatar,Fitch,AA-,Stable,2020-02-01
Qatar,Fitch,AA-,Stable,2020-02-01
Qatar,Fitch,AA-,Stable,2020-06-01
Qatar,Fitch,AA-,Stable,2021-06-01
Qatar,Fitch,AA-,Positive,2023-03-01
Qatar,Fitch,AA,Stable,2024-03-01
Qatar,Fitch,AA,Stable,2025-03-01
Qatar,Fitch,AA,Stable,2025-11-01
Qatar,Fitch,AA,Negative watch,2026-03-01
Qatar,Fitch,AA,Stable,2026-03-01
Qatar,Moody's,Baa2,Negative,1996-11-01
Qatar,Moody's,Baa2,Stable,1999-09-01
Qatar,Moody's,A3,Stable,2003-04-01
Qatar,Moody's,A1,Under Review,2006-09-01
Qatar,Moody's,Aa3,Stable,2006-10-01
Qatar,Moody's,Aa2,Stable,2011-12-01
Qatar,Moody's,Aa2,Under Review,2016-03-01
Qatar,Moody's,Aa2,Negative,2016-05-01
Qatar,Moody's,Aa3,Stable,2017-05-01
Qatar,Moody's,Aa3,Negative,2017-07-01
Qatar,Moody's,Aa3,Stable,2018-07-01
Qatar,Moody's,Aa3,Stable,2019-01-01
Qatar,Moody's,Aa3,Stable,2020-09-01
Qatar,Moody's,Aa3,Stable,2022-11-01
Qatar,Moody's,Aa2,Stable,2024-01-01
Qatar,Moody's,Aa2,Stable,2025-11-01
Qatar,S&P,BBB,Stable,1996-02-01
Qatar,S&P,BBB,Stable,1999-01-01
Qatar,S&P,BBB+,Positive,2001-03-01
Qatar,S&P,A-,Positive,2002-05-01
Qatar,S&P,A+,Stable,2003-07-01
Qatar,S&P,A+,Positive,2004-06-01
Qatar,S&P,A+,Stable,2005-09-01
Qatar,S&P,A+,Stable,2005-11-01
Qatar,S&P,A+,Stable,2006-04-01
Qatar,S&P,AA-,Stable,2007-03-01
Qatar,S&P,AA,Stable,2010-07-01
Qatar,S&P,AA,Negative,2017-03-01
Qatar,S&P,AA-,Negative watch,2017-06-01
Qatar,S&P,AA-,Negative,2017-08-01
Qatar,S&P,AA-,Stable,2018-12-01
Qatar,S&P,AA-,NR,2019-03-01
Qatar,S&P,NR,NR,2019-04-01
Qatar,S&P,NR,NR,2020-01-01
Qatar,S&P,NR,NR,2020-01-01
Qatar,S&P,AA,NR,2025-11-01
