Country,Agency,Rating,Outlook,Date
Republic of the Congo,Fitch,B+,Stable,2013-10-01
Republic of the Congo,Fitch,B+,Stable,2014-04-01
Republic of the Congo,Fitch,B+,Stable,2014-10-01
Republic of the Congo,Fitch,B,Negative,2016-03-01
Republic of the Congo,Fitch,CCC,Developing,2019-03-01
Republic of the Congo,Fitch,CCC,Developing,2019-09-01
Republic of the Congo,Fitch,CCC,Under Review,2020-05-01
Republic of the Congo,Fitch,CCC,NR,2020-11-01
Republic of the Congo,Fitch,CCC,NR,2022-04-01
Republic of the Congo,Fitch,CCC+,NR,2022-09-01
Republic of the Congo,Fitch,CCC+,NR,2023-09-01
Republic of the Congo,Fitch,CCC+,NR,2024-03-01
Republic of the Congo,Fitch,CCC+,NR,2024-08-01
Republic of the Congo,Fitch,CCC+,NR,2025-02-01
Republic of the Congo,Fitch,CCC+,NR,2026-02-01
Republic of the Congo,Moody's,Ba3,Stable,2013-10-01
Republic of the Congo,Moody's,Ba3,Negative,2015-11-01
Republic of the Congo,Moody's,B1,Negative watch,2016-03-01
Republic of the Congo,Moody's,B2,Negative,2016-04-01
Republic of the Congo,Moody's,B3,Negative watch,2016-08-01
Republic of the Congo,Moody's,B3,Negative,2016-10-01
Republic of the Congo,Moody's,Caa2,Negative,2017-07-01
Republic of the Congo,Moody's,Caa2,Stable,2018-10-01
Republic of the Congo,Moody's,Caa2,Stable,2021-04-01
Republic of the Congo,Moody's,Caa2,Stable,2023-11-01
Republic of the Congo,Moody's,Caa2,Stable,2024-11-01
Republic of the Congo,S&P,B+,Stable,2013-10-01
Republic of the Congo,S&P,B,Stable,2015-02-01
Republic of the Congo,S&P,B-,Stable,2016-03-01
Republic of the Congo,S&P,B-,Stable,2016-08-01
Republic of the Congo,S&P,CCC,Negative watch,2017-07-01
Republic of the Congo,S&P,CCC+,Stable,2017-09-01
Republic of the Congo,S&P,B-,Stable,2018-09-01
Republic of the Congo,S&P,B-,Stable,2023-07-01
Republic of the Congo,S&P,CCC+,Stable,2024-11-01
Republic of the Congo,S&P,CCC+,NR,2025-11-01
Republic of the Congo,S&P,CCC+,NR,2026-02-01
Republic of the Congo,S&P,CCC+,NR,2026-05-01
