Country,Agency,Rating,Outlook,Date
Romania,Fitch,BB-,Negative,1998-09-01
Romania,Fitch,B-,Stable,2000-09-01
Romania,Fitch,B,Stable,2000-11-01
Romania,Fitch,B,Positive,2001-11-01
Romania,Fitch,B+,Stable,2002-06-01
Romania,Fitch,BB-,Stable,2002-10-01
Romania,Fitch,BB-,Positive,2003-09-01
Romania,Fitch,BB,Stable,2003-12-01
Romania,Fitch,BB,Positive,2004-08-01
Romania,Fitch,BBB-,Stable,2004-11-01
Romania,Fitch,BBB,Stable,2006-08-01
Romania,Fitch,BBB,Negative,2008-01-01
Romania,Fitch,BB+,Negative,2008-11-01
Romania,Fitch,BB+,Stable,2010-02-01
Romania,Fitch,BBB-,Stable,2011-07-01
Romania,Fitch,BBB-,Stable,2011-11-01
Romania,Fitch,BBB-,Stable,2011-12-01
Romania,Fitch,BBB-,Stable,2012-01-01
Romania,Fitch,BBB-,Stable,2012-02-01
Romania,Fitch,BBB-,Stable,2012-04-01
Romania,Fitch,BBB-,Stable,2012-05-01
Romania,Fitch,BBB-,Stable,2012-07-01
Romania,Fitch,BBB-,Stable,2012-08-01
Romania,Fitch,BBB-,Stable,2013-02-01
Romania,Fitch,BBB-,Stable,2013-03-01
Romania,Fitch,BBB-,Stable,2013-05-01
Romania,Fitch,BBB-,Stable,2013-06-01
Romania,Fitch,BBB-,Stable,2013-07-01
Romania,Fitch,BBB-,Stable,2013-09-01
Romania,Fitch,BBB-,Stable,2014-01-01
Romania,Fitch,BBB-,Stable,2014-02-01
Romania,Fitch,BBB-,Stable,2014-03-01
Romania,Fitch,BBB-,Stable,2014-04-01
Romania,Fitch,BBB-,Stable,2014-05-01
Romania,Fitch,BBB-,Stable,2014-06-01
Romania,Fitch,BBB-,Stable,2014-07-01
Romania,Fitch,BBB-,Stable,2014-08-01
Romania,Fitch,BBB-,Stable,2014-09-01
Romania,Fitch,BBB-,Stable,2014-10-01
Romania,Fitch,BBB-,Stable,2016-01-01
Romania,Fitch,BBB-,Stable,2016-07-01
Romania,Fitch,BBB-,Stable,2017-01-01
Romania,Fitch,BBB-,Stable,2017-07-01
Romania,Fitch,BBB-,Stable,2018-01-01
Romania,Fitch,BBB-,Stable,2018-07-01
Romania,Fitch,BBB-,Stable,2019-05-01
Romania,Fitch,BBB-,Stable,2019-11-01
Romania,Fitch,BBB-,Negative,2020-04-01
Romania,Fitch,BBB-,Negative,2020-10-01
Romania,Fitch,BBB-,Negative,2021-04-01
Romania,Fitch,BBB-,Negative,2021-10-01
Romania,Fitch,BBB-,Negative,2022-10-01
Romania,Fitch,BBB-,Stable,2023-03-01
Romania,Fitch,BBB-,Stable,2023-09-01
Romania,Fitch,BBB-,Stable,2024-03-01
Romania,Fitch,BBB-,Stable,2024-08-01
Romania,Fitch,BBB-,Negative,2024-12-01
Romania,Fitch,BBB-,Negative,2025-02-01
Romania,Fitch,BBB-,Negative,2025-08-01
Romania,Fitch,BBB-,Negative,2026-02-01
Romania,Moody's,Ba3,Stable,1996-03-01
Romania,Moody's,Ba3,Negative watch,1998-08-01
Romania,Moody's,B1,Stable,1998-09-01
Romania,Moody's,B3,Stable,1998-11-01
Romania,Moody's,B2,Stable,2001-12-01
Romania,Moody's,B1,Stable,2002-12-01
Romania,Moody's,Ba3,Stable,2003-12-01
Romania,Moody's,Ba1,Positive,2005-03-01
Romania,Moody's,Ba1,Positive watch,2006-06-01
Romania,Moody's,Baa3,Stable,2006-10-01
Romania,Moody's,Baa3,Negative,2012-06-01
Romania,Moody's,Baa3,Stable,2014-04-01
Romania,Moody's,Baa3,Positive,2015-12-01
Romania,Moody's,Baa3,Stable,2017-04-01
Romania,Moody's,Baa3,Stable,2018-08-01
Romania,Moody's,Baa3,Stable,2019-01-01
Romania,Moody's,Baa3,Negative,2020-04-01
Romania,Moody's,Baa3,Stable,2021-10-01
Romania,Moody's,Baa3,Stable,2023-11-01
Romania,Moody's,Baa3,Negative,2025-03-01
Romania,Moody's,Baa3,Negative,2025-09-01
Romania,S&P,BB-,Stable,1996-03-01
Romania,S&P,BB-,Stable,1997-04-01
Romania,S&P,BB-,Negative watch,1998-01-01
Romania,S&P,B+,Stable,1998-05-01
Romania,S&P,B-,Negative,1998-10-01
Romania,S&P,B-,Negative,1999-04-01
Romania,S&P,B-,Stable,2000-08-01
Romania,S&P,B-,Positive,2001-03-01
Romania,S&P,B,Positive,2001-06-01
Romania,S&P,B+,Positive,2002-04-01
Romania,S&P,BB-,Positive,2003-02-01
Romania,S&P,BB,Positive,2003-09-01
Romania,S&P,BB+,Stable,2004-09-01
Romania,S&P,BB+,Positive,2005-02-01
Romania,S&P,BBB-,Stable,2005-09-01
Romania,S&P,BBB-,Stable,2005-11-01
Romania,S&P,BBB-,Positive,2006-09-01
Romania,S&P,BBB-,Stable,2007-04-01
Romania,S&P,BBB-,Negative,2007-11-01
Romania,S&P,BB+,Negative,2008-10-01
Romania,S&P,BB+,Stable,2010-03-01
Romania,S&P,BB+,Stable,2011-11-01
Romania,S&P,BB+,Positive,2013-11-01
Romania,S&P,BBB-,Stable,2014-05-01
Romania,S&P,BBB-,NR,2019-04-01
Romania,S&P,BBB-,Developing,2019-07-01
Romania,S&P,NR,NR,2019-11-01
Romania,S&P,BBB-,Negative,2019-12-01
Romania,S&P,BBB-,Developing,2020-01-01
Romania,S&P,BBB-,Developing,2020-01-01
Romania,S&P,BBB-,Stable,2021-04-01
Romania,S&P,BBB-,NR,2025-03-01
Romania,S&P,BBB-,NR,2025-07-01
Romania,S&P,BBB-,NR,2025-10-01
Romania,S&P,BBB-,NR,2026-02-01
