Country,Agency,Rating,Outlook,Date
Russia,Fitch,BB+,Negative,1998-02-01
Russia,Fitch,BB,Negative,1998-06-01
Russia,Fitch,CCC,Positive,2000-02-01
Russia,Fitch,B,Stable,2000-09-01
Russia,Fitch,B,Positive,2001-07-01
Russia,Fitch,B+,Stable,2001-10-01
Russia,Fitch,BB-,Positive,2002-05-01
Russia,Fitch,BB+,Stable,2003-05-01
Russia,Fitch,BBB-,Stable,2004-11-01
Russia,Fitch,BBB,Stable,2005-08-01
Russia,Fitch,BBB+,Stable,2006-07-01
Russia,Fitch,BBB+,Negative,2008-11-01
Russia,Fitch,BBB,Negative,2009-02-01
Russia,Fitch,BBB,Stable,2010-01-01
Russia,Fitch,BBB,Positive,2010-09-01
Russia,Fitch,BBB,Stable,2012-01-01
Russia,Fitch,BBB,Stable,2012-04-01
Russia,Fitch,BBB,Stable,2012-08-01
Russia,Fitch,BBB,Stable,2013-02-01
Russia,Fitch,BBB,Stable,2013-06-01
Russia,Fitch,BBB,Stable,2013-09-01
Russia,Fitch,BBB,Stable,2013-10-01
Russia,Fitch,BBB,Stable,2013-12-01
Russia,Fitch,BBB,Stable,2014-01-01
Russia,Fitch,BBB,Negative,2014-03-01
Russia,Fitch,BBB,Negative,2014-04-01
Russia,Fitch,BBB,Negative,2014-07-01
Russia,Fitch,BBB-,Negative,2015-10-01
Russia,Fitch,BBB-,Negative,2016-04-01
Russia,Fitch,BBB-,Negative,2016-07-01
Russia,Fitch,BBB-,Stable,2016-10-01
Russia,Fitch,BBB-,Stable,2017-03-01
Russia,Fitch,BBB-,Positive,2017-09-01
Russia,Fitch,BBB-,Positive,2018-02-01
Russia,Fitch,BBB-,Positive,2018-08-01
Russia,Fitch,BBB,Stable,2019-08-01
Russia,Fitch,BBB,Stable,2020-02-01
Russia,Fitch,BBB,Stable,2020-08-01
Russia,Fitch,BBB,Stable,2021-02-01
Russia,Fitch,BBB,Stable,2021-07-01
Russia,Fitch,BBB,Stable,2021-12-01
Russia,Fitch,C,NR,2022-03-01
Russia,Fitch,BBB-,Negative,2022-04-01
Russia,Moody's,Ba2,Stable,1996-10-01
Russia,Moody's,Ba2,Negative watch,1998-02-01
Russia,Moody's,Ba3,Stable,1998-03-01
Russia,Moody's,B1,Negative,1998-05-01
Russia,Moody's,B3,Negative,1998-08-01
Russia,Moody's,B3,Positive watch,2000-08-01
Russia,Moody's,B2,Stable,2000-11-01
Russia,Moody's,Ba3,Stable,2001-11-01
Russia,Moody's,Ba3,Positive watch,2002-10-01
Russia,Moody's,Ba2,Stable,2002-12-01
Russia,Moody's,Ba2,Positive watch,2003-07-01
Russia,Moody's,Baa3,Stable,2003-10-01
Russia,Moody's,Baa3,Positive,2004-10-01
Russia,Moody's,Baa3,Positive watch,2005-09-01
Russia,Moody's,Baa2,Stable,2005-10-01
Russia,Moody's,Baa2,Positive watch,2008-03-01
Russia,Moody's,Baa1,Positive,2008-07-01
Russia,Moody's,Baa1,Stable,2008-12-01
Russia,Moody's,Baa1,Stable,2013-03-01
Russia,Moody's,Baa1,Negative watch,2014-03-01
Russia,Moody's,Baa1,Negative,2014-06-01
Russia,Moody's,Baa2,Negative,2014-10-01
Russia,Moody's,Baa3,Negative watch,2015-01-01
Russia,Moody's,Ba1,Negative,2015-02-01
Russia,Moody's,Ba1,Stable,2015-12-01
Russia,Moody's,Ba1,Negative watch,2016-03-01
Russia,Moody's,Ba1,Negative,2016-04-01
Russia,Moody's,Ba1,Stable,2017-02-01
Russia,Moody's,Ba1,Positive,2018-01-01
Russia,Moody's,Ba1,Positive,2019-01-01
Russia,Moody's,Baa3,Stable,2019-02-01
Russia,Moody's,Baa3,Stable,2021-05-01
Russia,Moody's,Baa3,Negative watch,2022-02-01
Russia,Moody's,Ca,Negative,2022-03-01
Russia,S&P,BB-,Stable,1996-10-01
Russia,S&P,BB-,Negative,1997-12-01
Russia,S&P,BB-,Negative watch,1998-05-01
Russia,S&P,B+,Stable,1998-06-01
Russia,S&P,B-,Negative,1998-08-01
Russia,S&P,CCC,Negative,1998-08-01
Russia,S&P,CCC-,Negative,1998-09-01
Russia,S&P,B-,Stable,2000-12-01
Russia,S&P,B,Stable,2001-06-01
Russia,S&P,B,Positive,2001-10-01
Russia,S&P,B+,Stable,2001-12-01
Russia,S&P,B+,Positive,2002-02-01
Russia,S&P,BB-,Stable,2002-07-01
Russia,S&P,BB,Stable,2002-12-01
Russia,S&P,BB+,Stable,2004-01-01
Russia,S&P,BBB-,Stable,2005-01-01
Russia,S&P,BBB-,Stable,2005-11-01
Russia,S&P,BBB-,Stable,2005-11-01
Russia,S&P,BBB,Stable,2005-12-01
Russia,S&P,BBB+,Stable,2006-09-01
Russia,S&P,BBB+,Positive,2008-03-01
Russia,S&P,BBB+,Stable,2008-09-01
Russia,S&P,BBB+,Negative,2008-10-01
Russia,S&P,BBB,Negative,2008-12-01
Russia,S&P,BBB,Stable,2009-12-01
Russia,S&P,BBB,Stable,2012-06-01
Russia,S&P,BBB,Negative,2014-03-01
Russia,S&P,BBB-,Negative,2014-04-01
Russia,S&P,BBB-,Negative watch,2014-12-01
Russia,S&P,BB+,Negative,2015-01-01
Russia,S&P,BB+,Stable,2016-09-01
Russia,S&P,BB+,Positive,2017-03-01
Russia,S&P,BB+,Positive,2017-09-01
Russia,S&P,BBB-,Stable,2018-02-01
Russia,S&P,BB+,Negative watch,2022-02-01
Russia,S&P,CC,Negative watch,2022-03-01
