Country,Agency,Rating,Outlook,Date
Rwanda,Fitch,B-,Positive,2006-12-01
Rwanda,Fitch,B,Stable,2010-08-01
Rwanda,Fitch,B,Stable,2011-08-01
Rwanda,Fitch,B,Stable,2012-08-01
Rwanda,Fitch,B,Stable,2013-04-01
Rwanda,Fitch,B+,Stable,2014-07-01
Rwanda,Fitch,B+,Stable,2016-01-01
Rwanda,Fitch,B+,Stable,2016-05-01
Rwanda,Fitch,B+,Stable,2016-07-01
Rwanda,Fitch,B+,Stable,2016-11-01
Rwanda,Fitch,B+,Stable,2017-05-01
Rwanda,Fitch,B+,Stable,2017-11-01
Rwanda,Fitch,B+,Stable,2018-05-01
Rwanda,Fitch,B+,Stable,2019-09-01
Rwanda,Fitch,B+,Stable,2020-08-01
Rwanda,Fitch,B+,Negative,2021-07-01
Rwanda,Fitch,B+,Negative,2022-05-01
Rwanda,Fitch,B+,Negative,2022-10-01
Rwanda,Fitch,B+,Negative,2023-04-01
Rwanda,Fitch,B+,Stable,2023-10-01
Rwanda,Fitch,B+,Stable,2024-04-01
Rwanda,Fitch,B+,Stable,2024-10-01
Rwanda,Fitch,B+,Negative,2025-04-01
Rwanda,Fitch,B+,Negative,2025-09-01
Rwanda,Fitch,B+,Stable,2026-03-01
Rwanda,Moody's,B2,Stable,2016-08-01
Rwanda,Moody's,B2,Stable,2018-05-01
Rwanda,Moody's,B2,Negative,2020-10-01
Rwanda,Moody's,B2,Negative,2022-06-01
Rwanda,Moody's,B2,Stable,2023-09-01
Rwanda,Moody's,B2,Negative,2025-03-01
Rwanda,Moody's,B2,Stable,2025-09-01
Rwanda,S&P,B,Positive,2011-12-01
Rwanda,S&P,B,Stable,2012-10-01
Rwanda,S&P,B,Positive,2014-09-01
Rwanda,S&P,B+,Stable,2015-03-01
Rwanda,S&P,B+,Negative,2016-03-01
Rwanda,S&P,B,Stable,2016-09-01
Rwanda,S&P,B,Positive,2018-08-01
Rwanda,S&P,B+,Stable,2019-08-01
Rwanda,S&P,B+,Negative,2020-08-01
