Country,Agency,Rating,Outlook,Date
Saudi Arabia,Fitch,A,Stable,2004-11-01
Saudi Arabia,Fitch,A+,Stable,2006-08-01
Saudi Arabia,Fitch,A+,Positive,2007-07-01
Saudi Arabia,Fitch,AA-,Stable,2008-07-01
Saudi Arabia,Fitch,AA-,Stable,2011-04-01
Saudi Arabia,Fitch,AA-,Stable,2012-04-01
Saudi Arabia,Fitch,AA,Stable,2014-03-01
Saudi Arabia,Fitch,AA,Stable,2014-09-01
Saudi Arabia,Fitch,AA,Negative,2015-08-01
Saudi Arabia,Fitch,AA-,Negative,2016-04-01
Saudi Arabia,Fitch,AA-,Negative,2016-07-01
Saudi Arabia,Fitch,AA-,Negative,2016-09-01
Saudi Arabia,Fitch,A+,Stable,2017-03-01
Saudi Arabia,Fitch,A+,Stable,2017-11-01
Saudi Arabia,Fitch,A+,Stable,2018-06-01
Saudi Arabia,Fitch,A+,Stable,2018-12-01
Saudi Arabia,Fitch,A+,Stable,2019-04-01
Saudi Arabia,Fitch,A,Stable,2019-09-01
Saudi Arabia,Fitch,A,Stable,2020-04-01
Saudi Arabia,Fitch,A,Stable,2020-04-01
Saudi Arabia,Fitch,A,Negative,2020-11-01
Saudi Arabia,Fitch,A,Stable,2021-07-01
Saudi Arabia,Fitch,A+,Stable,2023-04-01
Saudi Arabia,Fitch,A+,Stable,2024-02-01
Saudi Arabia,Fitch,A+,Stable,2025-01-01
Saudi Arabia,Fitch,A+,Stable,2025-07-01
Saudi Arabia,Fitch,A+,Stable,2025-09-01
Saudi Arabia,Fitch,A+,Stable,2026-01-01
Saudi Arabia,Moody's,Baa3,Positive,2000-08-01
Saudi Arabia,Moody's,Baa2,Stable,2003-11-01
Saudi Arabia,Moody's,Baa2,Under Review,2005-10-01
Saudi Arabia,Moody's,A3,Stable,2005-11-01
Saudi Arabia,Moody's,A3,Under Review,2006-09-01
Saudi Arabia,Moody's,A2,Positive,2006-10-01
Saudi Arabia,Moody's,Aa3,Stable,2010-02-01
Saudi Arabia,Moody's,Aa3,Stable,2015-04-01
Saudi Arabia,Moody's,Aa3,Under Review,2016-03-01
Saudi Arabia,Moody's,A1,Stable,2016-05-01
Saudi Arabia,Moody's,A1,Stable,2018-04-01
Saudi Arabia,Moody's,A1,Stable,2019-01-01
Saudi Arabia,Moody's,A1,Negative,2020-05-01
Saudi Arabia,Moody's,A1,Stable,2021-11-01
Saudi Arabia,Moody's,A1,Positive,2023-03-01
Saudi Arabia,Moody's,Aa3,Stable,2024-11-01
Saudi Arabia,Moody's,Aa3,Stable,2025-09-01
Saudi Arabia,S&P,A,Stable,2003-07-01
Saudi Arabia,S&P,A,Stable,2005-11-01
Saudi Arabia,S&P,A,Positive,2006-01-01
Saudi Arabia,S&P,A+,Stable,2006-04-01
Saudi Arabia,S&P,A+,Stable,2006-04-01
Saudi Arabia,S&P,AA-,Stable,2007-07-01
Saudi Arabia,S&P,AA-,Positive,2013-05-01
Saudi Arabia,S&P,AA-,Positive,2013-12-01
Saudi Arabia,S&P,AA-,Stable,2014-12-01
Saudi Arabia,S&P,AA-,Negative,2015-02-01
Saudi Arabia,S&P,A+,Negative,2015-10-01
Saudi Arabia,S&P,A-,Stable,2016-02-01
Saudi Arabia,S&P,A+,Stable,2025-03-01
