Country,Agency,Rating,Outlook,Date
Serbia,Fitch,BB-,Stable,2005-05-01
Serbia,Fitch,BB-,Negative,2008-12-01
Serbia,Fitch,BB-,Stable,2010-11-01
Serbia,Fitch,BB-,Stable,2011-09-01
Serbia,Fitch,BB-,Stable,2011-11-01
Serbia,Fitch,BB-,Stable,2012-01-01
Serbia,Fitch,BB-,Stable,2012-02-01
Serbia,Fitch,BB-,Stable,2012-04-01
Serbia,Fitch,BB-,Stable,2012-07-01
Serbia,Fitch,BB-,Negative,2012-08-01
Serbia,Fitch,BB-,Negative,2013-03-01
Serbia,Fitch,BB-,Negative,2013-05-01
Serbia,Fitch,BB-,Negative,2013-06-01
Serbia,Fitch,BB-,Negative,2013-07-01
Serbia,Fitch,BB-,Negative,2013-08-01
Serbia,Fitch,BB-,Negative,2013-09-01
Serbia,Fitch,BB-,Negative,2013-10-01
Serbia,Fitch,BB-,Negative,2013-11-01
Serbia,Fitch,BB-,Negative,2013-12-01
Serbia,Fitch,B+,Stable,2014-01-01
Serbia,Fitch,B+,Stable,2014-03-01
Serbia,Fitch,B+,Stable,2014-04-01
Serbia,Fitch,B+,Stable,2014-05-01
Serbia,Fitch,B+,Stable,2014-06-01
Serbia,Fitch,B+,Stable,2014-07-01
Serbia,Fitch,B+,Stable,2014-08-01
Serbia,Fitch,B+,Stable,2014-09-01
Serbia,Fitch,B+,Positive,2015-12-01
Serbia,Fitch,BB-,Stable,2016-06-01
Serbia,Fitch,BB-,Stable,2016-07-01
Serbia,Fitch,BB-,Stable,2016-12-01
Serbia,Fitch,BB-,Stable,2017-06-01
Serbia,Fitch,BB,Stable,2017-12-01
Serbia,Fitch,BB,Stable,2018-06-01
Serbia,Fitch,BB,Stable,2019-05-01
Serbia,Fitch,BB+,Stable,2019-09-01
Serbia,Fitch,BB+,Stable,2020-03-01
Serbia,Fitch,BB+,Stable,2020-03-01
Serbia,Fitch,BB+,Stable,2020-09-01
Serbia,Fitch,BB+,Stable,2021-03-01
Serbia,Fitch,BB+,Stable,2021-09-01
Serbia,Fitch,BB+,Stable,2022-02-01
Serbia,Fitch,BB+,Stable,2022-08-01
Serbia,Fitch,BB+,Stable,2023-02-01
Serbia,Fitch,BB+,Stable,2023-08-01
Serbia,Fitch,BB+,Stable,2024-02-01
Serbia,Fitch,BB+,Positive,2024-08-01
Serbia,Fitch,BB+,Positive,2025-01-01
Serbia,Fitch,BB+,Positive,2025-07-01
Serbia,Fitch,BB+,Positive,2026-01-01
Serbia,Moody's,B1,Stable,2013-07-01
Serbia,Moody's,B1,Positive,2016-03-01
Serbia,Moody's,Ba3,Stable,2017-03-01
Serbia,Moody's,Ba3,Stable,2019-02-01
Serbia,Moody's,Ba3,Positive,2019-09-01
Serbia,Moody's,Ba2,Stable,2021-03-01
Serbia,Moody's,Ba2,Stable,2023-09-01
Serbia,Moody's,Ba2,Positive,2024-08-01
Serbia,Moody's,Ba2,Stable,2026-02-01
Serbia,S&P,B+,Stable,2004-11-01
Serbia,S&P,BB-,Stable,2005-07-01
Serbia,S&P,BB-,Stable,2005-11-01
Serbia,S&P,BB-,Positive,2006-02-01
Serbia,S&P,BB-,Stable,2007-07-01
Serbia,S&P,BB-,Negative,2008-03-01
Serbia,S&P,BB-,Stable,2009-12-01
Serbia,S&P,BB,Stable,2011-03-01
Serbia,S&P,BB-,Negative,2012-08-01
Serbia,S&P,BB-,Negative watch,2014-10-01
Serbia,S&P,BB-,Negative,2015-01-01
Serbia,S&P,BB-,Stable,2016-01-01
Serbia,S&P,BB-,Positive,2016-12-01
Serbia,S&P,BB,Stable,2017-12-01
Serbia,S&P,BB,Positive,2018-12-01
Serbia,S&P,BB,Developing,2019-06-01
Serbia,S&P,BB+,Positive,2019-12-01
Serbia,S&P,NR,NR,2020-02-01
Serbia,S&P,NR,NR,2020-02-01
Serbia,S&P,BB+,Stable,2020-05-01
Serbia,S&P,BB+,Stable,2021-12-01
Serbia,S&P,BB+,Stable,2022-06-01
Serbia,S&P,BBB-,Stable,2024-10-01
