Country,Agency,Rating,Outlook,Date
Singapore,Fitch,AA+,Stable,2000-09-01
Singapore,Fitch,AAA,Stable,2003-05-01
Singapore,Fitch,AAA,Stable,2011-10-01
Singapore,Fitch,AAA,Stable,2011-12-01
Singapore,Fitch,AAA,Stable,2012-01-01
Singapore,Fitch,AAA,Stable,2012-02-01
Singapore,Fitch,AAA,Stable,2012-03-01
Singapore,Fitch,AAA,Stable,2012-04-01
Singapore,Fitch,AAA,Stable,2012-05-01
Singapore,Fitch,AAA,Stable,2012-07-01
Singapore,Fitch,AAA,Stable,2012-08-01
Singapore,Fitch,AAA,Stable,2013-03-01
Singapore,Fitch,AAA,Stable,2013-05-01
Singapore,Fitch,AAA,Stable,2013-06-01
Singapore,Fitch,AAA,Stable,2013-07-01
Singapore,Fitch,AAA,Stable,2013-09-01
Singapore,Fitch,AAA,Stable,2013-10-01
Singapore,Fitch,AAA,Stable,2013-11-01
Singapore,Fitch,AAA,Stable,2013-12-01
Singapore,Fitch,AAA,Stable,2014-01-01
Singapore,Fitch,AAA,Stable,2014-02-01
Singapore,Fitch,AAA,Stable,2014-05-01
Singapore,Fitch,AAA,Stable,2014-07-01
Singapore,Fitch,AAA,Stable,2015-11-01
Singapore,Fitch,AAA,Stable,2016-07-01
Singapore,Fitch,AAA,Stable,2016-09-01
Singapore,Fitch,AAA,Stable,2017-09-01
Singapore,Fitch,AAA,Stable,2018-09-01
Singapore,Fitch,AAA,Stable,2019-08-01
Singapore,Fitch,AAA,Stable,2020-08-01
Singapore,Fitch,AAA,Stable,2021-08-01
Singapore,Fitch,AAA,Stable,2022-07-01
Singapore,Fitch,AAA,Stable,2023-07-01
Singapore,Fitch,AAA,Stable,2024-06-01
Singapore,Fitch,AAA,Stable,2025-04-01
Singapore,Fitch,AAA,Stable,2025-04-01
Singapore,Fitch,AAA,Stable,2026-04-01
Singapore,Moody's,Aa1,Stable,1998-01-01
Singapore,Moody's,Aaa,Stable,2003-11-01
Singapore,Moody's,Aaa,Stable,2016-12-01
Singapore,Moody's,Aaa,Stable,2018-11-01
Singapore,Moody's,Aaa,Stable,2022-05-01
Singapore,Moody's,Aaa,Stable,2024-05-01
Singapore,Moody's,Aaa,Stable,2026-05-01
Singapore,S&P,AA,Positive,1989-06-01
Singapore,S&P,AA+,Stable,1991-09-01
Singapore,S&P,AAA,Stable,1995-03-01
Singapore,S&P,AAA,Stable,2005-11-01
Singapore,S&P,Aaa,Stable,2020-09-01
