Country,Agency,Rating,Outlook,Date
Slovakia,Fitch,BBB-,Negative,1998-10-01
Slovakia,Fitch,BB+,Stable,2000-09-01
Slovakia,Fitch,BB+,Positive,2001-02-01
Slovakia,Fitch,BBB-,Positive,2002-11-01
Slovakia,Fitch,BBB,Stable,2003-03-01
Slovakia,Fitch,BBB,Positive,2003-11-01
Slovakia,Fitch,BBB+,Positive,2004-01-01
Slovakia,Fitch,A-,Stable,2004-09-01
Slovakia,Fitch,A,Stable,2005-10-01
Slovakia,Fitch,A,Positive,2007-07-01
Slovakia,Fitch,A,Positive,2008-05-01
Slovakia,Fitch,A+,Stable,2008-07-01
Slovakia,Fitch,A+,Stable,2011-06-01
Slovakia,Fitch,A+,Stable,2011-11-01
Slovakia,Fitch,A+,Stable,2012-01-01
Slovakia,Fitch,A+,Stable,2012-04-01
Slovakia,Fitch,A+,Stable,2012-05-01
Slovakia,Fitch,A+,Stable,2012-07-01
Slovakia,Fitch,A+,Stable,2012-08-01
Slovakia,Fitch,A+,Stable,2013-03-01
Slovakia,Fitch,A+,Stable,2013-05-01
Slovakia,Fitch,A+,Stable,2013-07-01
Slovakia,Fitch,A+,Stable,2013-11-01
Slovakia,Fitch,A+,Stable,2014-01-01
Slovakia,Fitch,A+,Stable,2014-02-01
Slovakia,Fitch,A+,Stable,2014-03-01
Slovakia,Fitch,A+,Stable,2014-08-01
Slovakia,Fitch,A+,Stable,2014-10-01
Slovakia,Fitch,A+,Stable,2016-02-01
Slovakia,Fitch,A+,Stable,2016-07-01
Slovakia,Fitch,A+,Stable,2016-08-01
Slovakia,Fitch,A+,Stable,2017-02-01
Slovakia,Fitch,A+,Stable,2017-08-01
Slovakia,Fitch,A+,Stable,2018-02-01
Slovakia,Fitch,A+,Stable,2018-07-01
Slovakia,Fitch,A+,Stable,2019-01-01
Slovakia,Fitch,A+,Stable,2019-05-01
Slovakia,Fitch,A+,Stable,2019-11-01
Slovakia,Fitch,A,Stable,2020-05-01
Slovakia,Fitch,A,Stable,2020-11-01
Slovakia,Fitch,A,Negative,2021-05-01
Slovakia,Fitch,A,Stable,2021-10-01
Slovakia,Fitch,A,Stable,2022-03-01
Slovakia,Fitch,A,Negative,2022-08-01
Slovakia,Fitch,A,Negative,2023-02-01
Slovakia,Fitch,A,Negative,2023-07-01
Slovakia,Fitch,A-,Stable,2023-12-01
Slovakia,Fitch,A-,Stable,2024-06-01
Slovakia,Fitch,A-,Stable,2024-12-01
Slovakia,Fitch,A-,Stable,2025-05-01
Slovakia,Fitch,A-,Stable,2025-11-01
Slovakia,Moody's,Baa3,Stable,1995-05-01
Slovakia,Moody's,Baa3,Negative watch,1998-01-01
Slovakia,Moody's,Ba1,Stable,1998-03-01
Slovakia,Moody's,Ba1,Negative watch,1998-10-01
Slovakia,Moody's,Ba1,Negative,1999-02-01
Slovakia,Moody's,Baa3,Stable,2001-11-01
Slovakia,Moody's,A3,Stable,2002-11-01
Slovakia,Moody's,A3,Stable,2003-11-01
Slovakia,Moody's,A3,Positive watch,2004-10-01
Slovakia,Moody's,A2,Positive,2005-01-01
Slovakia,Moody's,A2,Positive watch,2006-03-01
Slovakia,Moody's,A1,Stable,2006-10-01
Slovakia,Moody's,A1,Positive,2008-07-01
Slovakia,Moody's,A1,Stable,2009-03-01
Slovakia,Moody's,A2,Negative,2012-02-01
Slovakia,Moody's,A2,Stable,2013-10-01
Slovakia,Moody's,A2,Positive,2017-04-01
Slovakia,Moody's,A2,Positive,2018-02-01
Slovakia,Moody's,A2,Stable,2019-09-01
Slovakia,Moody's,A2,Stable,2021-06-01
Slovakia,Moody's,A2,Negative,2022-08-01
Slovakia,Moody's,A2,Negative,2023-11-01
Slovakia,Moody's,A3,Stable,2024-12-01
Slovakia,S&P,BB-,Stable,1994-02-01
Slovakia,S&P,BB+,Stable,1995-04-01
Slovakia,S&P,BBB-,Stable,1996-04-01
Slovakia,S&P,BBB-,Stable,1997-06-01
Slovakia,S&P,BBB-,Negative,1998-04-01
Slovakia,S&P,BB+,Negative,1998-09-01
Slovakia,S&P,BB+,Stable,1999-11-01
Slovakia,S&P,BB+,Positive,2000-11-01
Slovakia,S&P,BBB-,Positive,2001-10-01
Slovakia,S&P,BBB,Positive,2002-12-01
Slovakia,S&P,BBB+,Positive,2004-03-01
Slovakia,S&P,A-,Positive,2004-12-01
Slovakia,S&P,A-,Positive,2005-11-01
Slovakia,S&P,A,Stable,2005-12-01
Slovakia,S&P,A,Positive,2008-03-01
Slovakia,S&P,A+,Stable,2008-11-01
Slovakia,S&P,A+,Positive,2011-08-01
Slovakia,S&P,A+,Negative watch,2011-12-01
Slovakia,S&P,A,Stable,2012-01-01
Slovakia,S&P,A,Positive,2014-08-01
Slovakia,S&P,A+,Stable,2015-07-01
Slovakia,S&P,NR,NR,2019-10-01
Slovakia,S&P,A+,Negative,2022-05-01
Slovakia,S&P,A+,Stable,2023-05-01
Slovakia,S&P,A+,Negative,2025-04-01
