Country,Agency,Rating,Outlook,Date
Slovenia,Fitch,A,Stable,2000-09-01
Slovenia,Fitch,A,Positive,2002-05-01
Slovenia,Fitch,A+,Stable,2003-05-01
Slovenia,Fitch,A+,Positive,2003-11-01
Slovenia,Fitch,AA-,Positive,2004-07-01
Slovenia,Fitch,AA,Stable,2006-07-01
Slovenia,Fitch,AA-,Negative,2011-09-01
Slovenia,Fitch,AA-,Negative,2011-12-01
Slovenia,Fitch,A,Negative,2012-01-01
Slovenia,Fitch,A,Negative,2012-02-01
Slovenia,Fitch,A,Negative,2012-05-01
Slovenia,Fitch,A,Negative,2012-06-01
Slovenia,Fitch,A-,Negative,2012-08-01
Slovenia,Fitch,A-,Negative,2013-02-01
Slovenia,Fitch,A-,Negative,2013-03-01
Slovenia,Fitch,BBB+,Negative,2013-05-01
Slovenia,Fitch,BBB+,Negative,2013-06-01
Slovenia,Fitch,BBB+,Negative,2013-08-01
Slovenia,Fitch,BBB+,Negative,2013-09-01
Slovenia,Fitch,BBB+,Negative,2013-11-01
Slovenia,Fitch,BBB+,Negative,2013-12-01
Slovenia,Fitch,BBB+,Negative,2014-01-01
Slovenia,Fitch,BBB+,Negative,2014-02-01
Slovenia,Fitch,BBB+,Negative,2014-03-01
Slovenia,Fitch,BBB+,Negative,2014-04-01
Slovenia,Fitch,BBB+,Stable,2014-05-01
Slovenia,Fitch,BBB+,Stable,2014-07-01
Slovenia,Fitch,BBB+,Stable,2014-09-01
Slovenia,Fitch,BBB+,Stable,2014-10-01
Slovenia,Fitch,BBB+,Positive,2015-09-01
Slovenia,Fitch,BBB+,Positive,2016-03-01
Slovenia,Fitch,BBB+,Positive,2016-07-01
Slovenia,Fitch,A-,Stable,2016-09-01
Slovenia,Fitch,A-,Stable,2017-03-01
Slovenia,Fitch,A-,Stable,2017-08-01
Slovenia,Fitch,A-,Stable,2018-02-01
Slovenia,Fitch,A-,Stable,2018-08-01
Slovenia,Fitch,A-,Stable,2019-01-01
Slovenia,Fitch,A,Stable,2019-07-01
Slovenia,Fitch,A,Stable,2020-01-01
Slovenia,Fitch,A,Stable,2020-01-01
Slovenia,Fitch,A,Stable,2020-07-01
Slovenia,Fitch,A,Stable,2021-06-01
Slovenia,Fitch,A,Stable,2021-12-01
Slovenia,Fitch,A,Stable,2022-05-01
Slovenia,Fitch,A,Stable,2022-11-01
Slovenia,Fitch,A,Stable,2023-05-01
Slovenia,Fitch,A,Stable,2023-10-01
Slovenia,Fitch,A,Stable,2024-04-01
Slovenia,Fitch,A,Positive,2025-04-01
Slovenia,Fitch,A,Positive,2025-06-01
Slovenia,Fitch,A+,Stable,2025-10-01
Slovenia,Moody's,A3,Stable,1996-05-01
Slovenia,Moody's,A3,Positive watch,2000-09-01
Slovenia,Moody's,A2,Stable,2000-11-01
Slovenia,Moody's,Aa3,Stable,2002-11-01
Slovenia,Moody's,Aa3,Stable,2003-11-01
Slovenia,Moody's,Aa3,Positive,2006-03-01
Slovenia,Moody's,Aa3,Positive watch,2006-06-01
Slovenia,Moody's,Aa2,Positive,2006-07-01
Slovenia,Moody's,Aa3,Negative watch,2011-09-01
Slovenia,Moody's,A1,Negative,2011-12-01
Slovenia,Moody's,A2,Negative,2012-02-01
Slovenia,Moody's,Baa2,Negative,2012-08-01
Slovenia,Moody's,Ba1,Negative,2013-04-01
Slovenia,Moody's,Ba1,Stable,2014-01-01
Slovenia,Moody's,Baa3,Stable,2015-01-01
Slovenia,Moody's,Baa3,Positive,2016-09-01
Slovenia,Moody's,Baa1,Stable,2017-09-01
Slovenia,Moody's,Baa1,Positive,2019-04-01
Slovenia,Moody's,A3,Stable,2020-10-01
Slovenia,Moody's,A,Stable,2020-12-01
Slovenia,Moody's,A3,Stable,2022-11-01
Slovenia,Moody's,A3,Positive,2024-10-01
Slovenia,Moody's,A2,Stable,2026-02-01
Slovenia,S&P,A,Stable,1996-05-01
Slovenia,S&P,A,Stable,1998-01-01
Slovenia,S&P,A,Positive,2002-10-01
Slovenia,S&P,A+,Positive,2003-03-01
Slovenia,S&P,AA-,Stable,2004-05-01
Slovenia,S&P,AA-,Stable,2005-11-01
Slovenia,S&P,AA,Stable,2006-05-01
Slovenia,S&P,AA,Negative,2010-12-01
Slovenia,S&P,AA-,Stable,2011-10-01
Slovenia,S&P,AA-,Negative watch,2011-12-01
Slovenia,S&P,A+,Negative,2012-01-01
Slovenia,S&P,A,Negative,2012-08-01
Slovenia,S&P,A,Negative watch,2012-11-01
Slovenia,S&P,A-,Stable,2013-02-01
Slovenia,S&P,A-,Negative,2014-06-01
Slovenia,S&P,A-,Stable,2014-12-01
Slovenia,S&P,A-,Positive,2015-06-01
Slovenia,S&P,A,Stable,2016-06-01
Slovenia,S&P,A,Positive,2016-12-01
Slovenia,S&P,A+,Stable,2017-06-01
Slovenia,S&P,A+,Positive,2018-06-01
Slovenia,S&P,AA-,Stable,2019-06-01
Slovenia,S&P,NR,NR,2020-01-01
Slovenia,S&P,NR,NR,2020-01-01
Slovenia,S&P,AA,Stable,2025-06-01
Slovenia,S&P,AA,NR,2025-11-01
