Country,Agency,Rating,Outlook,Date
South Africa,Fitch,BB,Positive,1998-02-01
South Africa,Fitch,BBB-,Stable,2000-09-01
South Africa,Fitch,BBB-,Positive,2002-08-01
South Africa,Fitch,BBB-,Positive,2003-03-01
South Africa,Fitch,BBB,Stable,2003-05-01
South Africa,Fitch,BBB,Positive,2004-10-01
South Africa,Fitch,BBB+,Stable,2005-08-01
South Africa,Fitch,BBB+,Positive,2007-07-01
South Africa,Fitch,BBB+,Stable,2008-06-01
South Africa,Fitch,BBB+,Negative,2008-11-01
South Africa,Fitch,BBB+,Stable,2011-01-01
South Africa,Fitch,BBB+,Stable,2011-05-01
South Africa,Fitch,BBB+,Stable,2011-11-01
South Africa,Fitch,BBB+,Stable,2011-12-01
South Africa,Fitch,BBB+,Negative,2012-01-01
South Africa,Fitch,BBB+,Negative,2012-02-01
South Africa,Fitch,BBB+,Negative,2012-04-01
South Africa,Fitch,BBB+,Negative,2012-05-01
South Africa,Fitch,BBB+,Negative,2012-07-01
South Africa,Fitch,BBB+,Negative,2012-08-01
South Africa,Fitch,BBB,Stable,2013-03-01
South Africa,Fitch,BBB,Stable,2013-05-01
South Africa,Fitch,BBB,Stable,2013-06-01
South Africa,Fitch,BBB,Stable,2013-07-01
South Africa,Fitch,BBB,Stable,2013-09-01
South Africa,Fitch,BBB,Stable,2013-10-01
South Africa,Fitch,BBB,Stable,2013-12-01
South Africa,Fitch,BBB,Stable,2014-01-01
South Africa,Fitch,BBB,Stable,2014-03-01
South Africa,Fitch,BBB,Stable,2014-04-01
South Africa,Fitch,BBB,Stable,2014-05-01
South Africa,Fitch,BBB,Negative,2014-06-01
South Africa,Fitch,BBB,Negative,2014-07-01
South Africa,Fitch,BBB,Negative,2014-08-01
South Africa,Fitch,BBB,Negative,2014-09-01
South Africa,Fitch,BBB-,Stable,2015-12-01
South Africa,Fitch,BBB-,Stable,2016-06-01
South Africa,Fitch,BBB-,Stable,2016-07-01
South Africa,Fitch,BBB-,Negative,2016-11-01
South Africa,Fitch,BB+,Stable,2017-04-01
South Africa,Fitch,BB+,Stable,2017-06-01
South Africa,Fitch,BB+,Stable,2017-11-01
South Africa,Fitch,BB+,Stable,2018-06-01
South Africa,Fitch,BB+,Stable,2018-12-01
South Africa,Fitch,BB+,Negative,2019-07-01
South Africa,Fitch,BB+,Negative,2019-12-01
South Africa,Fitch,BB-,Stable,2020-11-01
South Africa,Fitch,BB-,Negative,2021-05-01
South Africa,Fitch,BB-,Stable,2021-12-01
South Africa,Fitch,BB-,Stable,2022-07-01
South Africa,Fitch,BB-,Stable,2023-07-01
South Africa,Fitch,BB-,Stable,2024-01-01
South Africa,Fitch,BB-,Stable,2024-09-01
South Africa,Fitch,BB-,Stable,2025-09-01
South Africa,Fitch,BB,Stable,2026-06-01
South Africa,Moody's,Baa3,Stable,1994-10-01
South Africa,Moody's,Baa3,Negative watch,1998-07-01
South Africa,Moody's,Baa3,Stable,1998-10-01
South Africa,Moody's,Baa3,Positive watch,2001-10-01
South Africa,Moody's,Baa2,Stable,2001-11-01
South Africa,Moody's,Baa2,Positive,2003-11-01
South Africa,Moody's,Baa2,Positive watch,2004-10-01
South Africa,Moody's,Baa1,Stable,2005-01-01
South Africa,Moody's,Baa1,Positive,2007-06-01
South Africa,Moody's,A3,Stable,2009-07-01
South Africa,Moody's,A3,Negative,2011-11-01
South Africa,Moody's,Baa1,Negative,2012-09-01
South Africa,Moody's,Baa1,Negative,2013-07-01
South Africa,Moody's,Baa2,Stable,2014-11-01
South Africa,Moody's,Baa2,Negative,2015-12-01
South Africa,Moody's,Baa2,Negative watch,2016-03-01
South Africa,Moody's,Baa2,Negative,2016-05-01
South Africa,Moody's,Baa2,Negative watch,2017-04-01
South Africa,Moody's,Baa3,Negative,2017-06-01
South Africa,Moody's,Baa3,Stable watch,2017-11-01
South Africa,Moody's,Baa3,Stable,2018-03-01
South Africa,Moody's,Baa3,Negative,2019-11-01
South Africa,Moody's,Ba1,Negative,2020-03-01
South Africa,Moody's,Ba1,Negative,2020-03-01
South Africa,Moody's,Ba2,Negative,2020-11-01
South Africa,Moody's,Ba2,Stable,2022-04-01
South Africa,Moody's,Ba2,Stable,2024-12-01
South Africa,Moody's,Ba2,Positive,2026-05-01
South Africa,S&P,BB,Stable,1994-10-01
South Africa,S&P,BB+,Stable,1995-11-01
South Africa,S&P,BB+,Stable,1998-03-01
South Africa,S&P,BBB-,Stable,2000-02-01
South Africa,S&P,BBB-,Positive,2002-11-01
South Africa,S&P,BBB,Stable,2003-05-01
South Africa,S&P,BBB+,Stable,2005-08-01
South Africa,S&P,BBB+,Stable,2005-11-01
South Africa,S&P,BBB+,Stable,2005-11-01
South Africa,S&P,BBB+,Negative,2008-11-01
South Africa,S&P,BBB+,Stable,2011-01-01
South Africa,S&P,BBB+,Negative,2012-03-01
South Africa,S&P,BBB,Negative,2012-10-01
South Africa,S&P,BBB-,Stable,2014-06-01
South Africa,S&P,BBB-,Negative,2015-12-01
South Africa,S&P,BBB-,Negative,2016-12-01
South Africa,S&P,BB+,Negative,2017-04-01
South Africa,S&P,BB,Stable,2017-11-01
South Africa,S&P,NR,NR,2019-05-01
South Africa,S&P,BB,Developing,2019-09-01
South Africa,S&P,BB,Negative,2019-11-01
South Africa,S&P,BB-,Stable,2020-04-01
South Africa,S&P,BB-,Negative,2022-05-01
South Africa,S&P,BB,Positive,2025-11-01
South Africa,S&P,BB,NR,2025-12-01
