Country,Agency,Rating,Outlook,Date
South Korea,Fitch,B-,Negative,1997-12-01
South Korea,Fitch,B-,Positive,1998-01-01
South Korea,Fitch,BB+,Positive,1998-02-01
South Korea,Fitch,BB+,Positive,1998-12-01
South Korea,Fitch,BBB-,Positive,1999-04-01
South Korea,Fitch,BBB+,Stable,2000-09-01
South Korea,Fitch,BBB+,Positive,2002-05-01
South Korea,Fitch,A,Stable,2002-06-01
South Korea,Fitch,A,Positive,2005-09-01
South Korea,Fitch,A+,Stable,2005-10-01
South Korea,Fitch,A+,Negative,2008-11-01
South Korea,Fitch,A+,Stable,2009-09-01
South Korea,Fitch,A+,Stable,2011-06-01
South Korea,Fitch,AA-,Stable,2013-03-01
South Korea,Fitch,AA-,Stable,2013-05-01
South Korea,Fitch,AA-,Stable,2013-06-01
South Korea,Fitch,AA-,Stable,2013-07-01
South Korea,Fitch,AA-,Stable,2013-09-01
South Korea,Fitch,AA-,Stable,2013-10-01
South Korea,Fitch,AA-,Stable,2013-12-01
South Korea,Fitch,AA-,Stable,2014-03-01
South Korea,Fitch,AA-,Stable,2014-04-01
South Korea,Fitch,AA-,Stable,2014-05-01
South Korea,Fitch,AA-,Stable,2014-06-01
South Korea,Fitch,AA-,Stable,2014-07-01
South Korea,Fitch,AA-,Stable,2014-08-01
South Korea,Fitch,AA-,Stable,2014-09-01
South Korea,Fitch,AA-,Stable,2016-02-01
South Korea,Fitch,AA-,Stable,2016-07-01
South Korea,Fitch,AA-,Stable,2016-10-01
South Korea,Fitch,AA-,Stable,2017-10-01
South Korea,Fitch,AA-,Stable,2018-06-01
South Korea,Fitch,AA-,Stable,2019-01-01
South Korea,Fitch,AA-,Stable,2019-06-01
South Korea,Fitch,AA-,Stable,2019-08-01
South Korea,Fitch,AA-,Stable,2020-02-01
South Korea,Fitch,AA-,Stable,2020-02-01
South Korea,Fitch,AA-,Stable,2020-10-01
South Korea,Fitch,AA-,Stable,2021-07-01
South Korea,Fitch,AA-,Stable,2022-01-01
South Korea,Fitch,AA-,Stable,2022-09-01
South Korea,Fitch,AA-,Stable,2023-03-01
South Korea,Fitch,AA-,Stable,2023-10-01
South Korea,Fitch,AA-,Stable,2024-03-01
South Korea,Fitch,AA-,Stable,2025-01-01
South Korea,Fitch,AA-,Stable,2025-02-01
South Korea,Fitch,AA-,Stable,2025-06-01
South Korea,Fitch,AA-,Stable,2025-10-01
South Korea,Fitch,AA-,Stable,2025-10-01
South Korea,Fitch,AA-,Stable,2026-02-01
South Korea,Moody's,A3,Positive,2002-11-01
South Korea,Moody's,A3,Negative,2003-02-01
South Korea,Moody's,A3,Negative,2003-11-01
South Korea,Moody's,A3,Stable,2004-06-01
South Korea,Moody's,A3,Positive,2006-04-01
South Korea,Moody's,A2,Stable,2007-07-01
South Korea,Moody's,A1,Positive,2012-04-01
South Korea,Moody's,Aa3,Stable,2012-08-01
South Korea,Moody's,Aa3,Positive,2015-04-01
South Korea,Moody's,Aa2,Stable,2015-12-01
South Korea,Moody's,Aa2,Stable,2018-06-01
South Korea,Moody's,Aa2,Stable,2019-06-01
South Korea,Moody's,Aa2,Stable,2020-05-01
South Korea,Moody's,Aa2,Stable,2022-04-01
South Korea,Moody's,Aa2,Stable,2024-05-01
South Korea,Moody's,Aa2,Stable,2024-10-01
South Korea,Moody's,Aa2,Stable,2025-10-01
South Korea,Moody's,Aa2,Stable,2025-10-01
South Korea,Moody's,Aa2,Stable,2026-02-01
South Korea,Moody's,Aa2,Stable,2026-02-01
South Korea,S&P,A+,Positive,1989-06-01
South Korea,S&P,A+,Negative,1994-06-01
South Korea,S&P,A+,Positive,1994-11-01
South Korea,S&P,AA-,Stable,1995-05-01
South Korea,S&P,AA-,Negative,1997-08-01
South Korea,S&P,A+,Negative,1997-10-01
South Korea,S&P,A-,Negative watch,1997-11-01
South Korea,S&P,B+,Negative watch,1997-12-01
South Korea,S&P,BBB-,Negative watch,1997-12-01
South Korea,S&P,B+,Developing watch,1998-01-01
South Korea,S&P,BB+,Stable,1998-02-01
South Korea,S&P,BBB-,Positive,1999-01-01
South Korea,S&P,BB+,Positive,1999-01-01
South Korea,S&P,BBB,Positive,1999-11-01
South Korea,S&P,BBB+,Stable,2001-11-01
South Korea,S&P,A-,Stable,2002-07-01
South Korea,S&P,A,Stable,2005-07-01
South Korea,S&P,A,Stable,2005-11-01
South Korea,S&P,A,Stable,2005-11-01
South Korea,S&P,A+,Stable,2012-09-01
South Korea,S&P,A+,Positive,2014-09-01
South Korea,S&P,AA-,Stable,2015-09-01
South Korea,S&P,AA,Stable,2016-08-01
South Korea,S&P,NR,NR,2019-04-01
South Korea,S&P,AA,Developing,2019-06-01
South Korea,S&P,Aa2,Stable,2020-09-01
South Korea,S&P,AA,NR,2025-06-01
South Korea,S&P,AA,NR,2025-10-01
South Korea,S&P,AA,NR,2025-10-01
South Korea,S&P,AA,NR,2026-02-01
