Country,Agency,Rating,Outlook,Date
Spain,Fitch,AA+,Stable,2000-09-01
Spain,Fitch,AAA,Stable,2003-12-01
Spain,Fitch,AA+,Stable,2010-05-01
Spain,Fitch,AA+,Negative,2011-03-01
Spain,Fitch,AA-,Negative,2011-10-01
Spain,Fitch,AA-,Negative,2011-11-01
Spain,Fitch,AA-,Negative,2011-12-01
Spain,Fitch,A,Negative,2012-01-01
Spain,Fitch,A,Negative,2012-02-01
Spain,Fitch,BBB,Negative,2012-06-01
Spain,Fitch,BBB,Negative,2013-03-01
Spain,Fitch,BBB,Negative,2013-05-01
Spain,Fitch,BBB,Negative,2013-07-01
Spain,Fitch,BBB,Negative,2013-09-01
Spain,Fitch,BBB,Negative,2013-10-01
Spain,Fitch,BBB,Stable,2013-11-01
Spain,Fitch,BBB,Stable,2013-12-01
Spain,Fitch,BBB,Stable,2014-01-01
Spain,Fitch,BBB,Stable,2014-02-01
Spain,Fitch,BBB,Stable,2014-03-01
Spain,Fitch,BBB+,Stable,2014-04-01
Spain,Fitch,BBB+,Stable,2014-05-01
Spain,Fitch,BBB+,Stable,2014-07-01
Spain,Fitch,BBB+,Stable,2014-08-01
Spain,Fitch,BBB+,Stable,2014-09-01
Spain,Fitch,BBB+,Stable,2014-10-01
Spain,Fitch,BBB+,Stable,2016-01-01
Spain,Fitch,BBB+,Stable,2016-07-01
Spain,Fitch,BBB+,Stable,2017-01-01
Spain,Fitch,BBB+,Positive,2017-07-01
Spain,Fitch,A-,Stable,2018-01-01
Spain,Fitch,A-,Stable,2018-07-01
Spain,Fitch,A-,Stable,2019-01-01
Spain,Fitch,A-,Stable,2019-06-01
Spain,Fitch,A-,Stable,2019-12-01
Spain,Fitch,A-,Stable,2020-06-01
Spain,Fitch,A-,Stable,2020-12-01
Spain,Fitch,A-,Stable,2021-06-01
Spain,Fitch,A-,Stable,2021-12-01
Spain,Fitch,A-,Stable,2022-06-01
Spain,Fitch,A-,Stable,2023-05-01
Spain,Fitch,A-,Stable,2023-11-01
Spain,Fitch,A-,Stable,2024-05-01
Spain,Fitch,A-,Positive,2024-11-01
Spain,Fitch,A-,Positive,2025-04-01
Spain,Fitch,A,Stable,2025-09-01
Spain,Fitch,A,Stable,2026-03-01
Spain,Moody's,Aa2,Stable,1988-02-01
Spain,Moody's,Aa2,Positive watch,2001-09-01
Spain,Moody's,Aaa,Stable,2001-12-01
Spain,Moody's,Aaa,Negative watch,2010-06-01
Spain,Moody's,Aa1,Stable,2010-09-01
Spain,Moody's,Aa1,Negative watch,2010-12-01
Spain,Moody's,Aa2,Negative,2011-03-01
Spain,Moody's,Aa2,Negative watch,2011-07-01
Spain,Moody's,A1,Negative,2011-10-01
Spain,Moody's,A3,Negative,2012-02-01
Spain,Moody's,Baa3,Negative watch,2012-06-01
Spain,Moody's,Baa3,Negative,2012-10-01
Spain,Moody's,Baa3,Stable,2013-12-01
Spain,Moody's,Baa2,Positive,2014-02-01
Spain,Moody's,Baa2,Stable,2016-02-01
Spain,Moody's,Baa1,Stable,2018-04-01
Spain,Moody's,Baa1,Stable,2020-09-01
Spain,Moody's,Baa1,Stable,2022-07-01
Spain,Moody's,Baa1,Positive,2024-03-01
Spain,Moody's,A3,Stable,2025-09-01
Spain,S&P,AA,Positive,1989-06-01
Spain,S&P,AA,Positive,1992-12-01
Spain,S&P,AA,Stable,1996-02-01
Spain,S&P,AA,Positive,1998-05-01
Spain,S&P,AA+,Stable,1999-03-01
Spain,S&P,AA+,Positive,2003-07-01
Spain,S&P,AAA,Stable,2004-12-01
Spain,S&P,AAA,Stable,2005-11-01
Spain,S&P,AAA,Negative watch,2009-01-01
Spain,S&P,AA+,Stable,2009-01-01
Spain,S&P,AA+,Negative,2009-12-01
Spain,S&P,AA,Negative,2010-04-01
Spain,S&P,AA-,Negative,2011-10-01
Spain,S&P,AA-,Negative watch,2011-12-01
Spain,S&P,A,Negative,2012-01-01
Spain,S&P,BBB+,Negative,2012-04-01
Spain,S&P,BBB-,Negative,2012-10-01
Spain,S&P,BBB-,Stable,2013-11-01
Spain,S&P,BBB,Stable,2014-05-01
Spain,S&P,BBB+,Stable,2015-10-01
Spain,S&P,BBB+,Positive,2017-03-01
Spain,S&P,A-,Positive,2018-03-01
Spain,S&P,A,Stable,2019-09-01
Spain,S&P,A,Stable,2022-03-01
Spain,S&P,A+,Stable,2025-09-01
