Country,Agency,Rating,Outlook,Date
Sri Lanka,Fitch,BB-,Stable,2005-12-01
Sri Lanka,Fitch,BB-,Negative,2006-04-01
Sri Lanka,Fitch,B+,Stable,2008-04-01
Sri Lanka,Fitch,B+,Negative,2009-02-01
Sri Lanka,Fitch,B+,Stable,2009-10-01
Sri Lanka,Fitch,B+,Positive,2010-09-01
Sri Lanka,Fitch,BB-,Stable,2011-07-01
Sri Lanka,Fitch,BB-,Stable,2011-10-01
Sri Lanka,Fitch,BB-,Stable,2012-01-01
Sri Lanka,Fitch,BB-,Stable,2012-05-01
Sri Lanka,Fitch,BB-,Stable,2012-07-01
Sri Lanka,Fitch,BB-,Stable,2012-08-01
Sri Lanka,Fitch,BB-,Stable,2013-03-01
Sri Lanka,Fitch,BB-,Stable,2013-06-01
Sri Lanka,Fitch,BB-,Stable,2013-07-01
Sri Lanka,Fitch,BB-,Stable,2013-08-01
Sri Lanka,Fitch,BB-,Stable,2013-10-01
Sri Lanka,Fitch,BB-,Stable,2013-11-01
Sri Lanka,Fitch,BB-,Stable,2013-12-01
Sri Lanka,Fitch,BB-,Stable,2014-01-01
Sri Lanka,Fitch,BB-,Stable,2014-03-01
Sri Lanka,Fitch,BB-,Stable,2014-04-01
Sri Lanka,Fitch,BB-,Stable,2014-05-01
Sri Lanka,Fitch,BB-,Stable,2014-06-01
Sri Lanka,Fitch,BB-,Stable,2014-07-01
Sri Lanka,Fitch,BB-,Stable,2014-08-01
Sri Lanka,Fitch,BB-,Stable,2014-09-01
Sri Lanka,Fitch,B+,Negative,2016-02-01
Sri Lanka,Fitch,B+,Negative,2016-07-01
Sri Lanka,Fitch,B+,Stable,2017-02-01
Sri Lanka,Fitch,B+,Stable,2018-02-01
Sri Lanka,Fitch,B,Stable,2018-12-01
Sri Lanka,Fitch,B,Stable,2019-03-01
Sri Lanka,Fitch,B,Stable,2019-06-01
Sri Lanka,Fitch,B,Stable,2019-09-01
Sri Lanka,Fitch,B,Negative,2019-12-01
Sri Lanka,Fitch,B-,Negative,2020-04-01
Sri Lanka,Fitch,CCC,NR,2020-12-01
Sri Lanka,Fitch,CCC,NR,2021-06-01
Sri Lanka,Fitch,CCC,NR,2024-12-01
Sri Lanka,Fitch,CCC+,NR,2025-10-01
Sri Lanka,Fitch,CCC+,NR,2025-10-01
Sri Lanka,Moody's,B2,Stable,2018-11-01
Sri Lanka,Moody's,B2,Stable,2019-03-01
Sri Lanka,Moody's,B2,Under Review,2020-04-01
Sri Lanka,Moody's,Caa1,Stable,2020-09-01
Sri Lanka,Moody's,Caa1,Under Review,2021-07-01
Sri Lanka,Moody's,Caa2,Stable,2021-10-01
Sri Lanka,Moody's,Ca,Stable,2022-04-01
Sri Lanka,Moody's,Caa1,Stable,2024-12-01
Sri Lanka,S&P,B+,Stable,2005-12-01
Sri Lanka,S&P,B+,Negative,2006-04-01
Sri Lanka,S&P,B+,Stable,2006-04-01
Sri Lanka,S&P,B+,Stable,2007-08-01
Sri Lanka,S&P,B+,Negative,2008-02-01
Sri Lanka,S&P,B,Stable,2008-12-01
Sri Lanka,S&P,B,Negative,2009-05-01
Sri Lanka,S&P,B,Stable,2009-08-01
Sri Lanka,S&P,B,Positive,2009-10-01
Sri Lanka,S&P,B+,Stable,2010-09-01
Sri Lanka,S&P,B+,Positive,2011-07-01
Sri Lanka,S&P,B+,Stable,2012-02-01
Sri Lanka,S&P,B+,Negative,2016-03-01
Sri Lanka,S&P,B+,Stable,2017-11-01
Sri Lanka,S&P,B,Stable,2018-12-01
Sri Lanka,S&P,B,NR,2019-03-01
Sri Lanka,S&P,NR,NR,2019-04-01
Sri Lanka,S&P,B,Developing,2019-06-01
Sri Lanka,S&P,B,Negative,2020-01-01
Sri Lanka,S&P,B,Negative,2020-01-01
Sri Lanka,S&P,B-,Stable,2020-05-01
Sri Lanka,S&P,CCC,Negative,2022-01-01
Sri Lanka,S&P,CCC+,Stable,2025-09-01
