Country,Agency,Rating,Outlook,Date
Suriname,Fitch,B,Stable,2004-06-01
Suriname,Fitch,B,Positive,2009-10-01
Suriname,Fitch,B+,Stable,2011-07-01
Suriname,Fitch,BB-,Stable,2012-07-01
Suriname,Fitch,BB-,Stable,2013-05-01
Suriname,Fitch,BB-,Stable,2014-05-01
Suriname,Fitch,B+,Negative,2016-02-01
Suriname,Fitch,B+,Negative,2016-07-01
Suriname,Fitch,B-,Negative,2017-02-01
Suriname,Fitch,B-,Stable,2018-02-01
Suriname,Fitch,B-,Stable,2018-08-01
Suriname,Fitch,B-,Negative,2019-08-01
Suriname,Fitch,CCC,Developing,2020-01-01
Suriname,Fitch,C,Developing,2020-12-01
Suriname,Moody's,B1,Stable,2004-02-01
Suriname,Moody's,Ba3,Positive,2012-08-01
Suriname,Moody's,Ba3,Stable,2014-02-01
Suriname,Moody's,B1,Stable,2016-05-01
Suriname,Moody's,B2,Negative,2018-02-01
Suriname,Moody's,B2,Stable,2019-02-01
Suriname,Moody's,B3,Stable,2020-04-01
Suriname,Moody's,B3,Stable,2020-04-01
Suriname,Moody's,Caa3,Negative,2020-07-01
Suriname,Moody's,Caa3,Stable,2023-02-01
Suriname,Moody's,Caa1,Positive,2024-11-01
Suriname,Moody's,Caa1,Positive,2025-10-01
Suriname,Moody's,Caa1,Positive,2026-03-01
Suriname,S&P,B-,Stable,1999-11-01
Suriname,S&P,B-,Negative watch,2001-01-01
Suriname,S&P,B-,Stable,2002-01-01
Suriname,S&P,B-,Positive,2002-05-01
Suriname,S&P,B-,Stable,2003-07-01
Suriname,S&P,B-,Stable,2005-11-01
Suriname,S&P,B-,Positive,2005-11-01
Suriname,S&P,B-,Positive,2006-04-01
Suriname,S&P,B,Positive,2006-12-01
Suriname,S&P,B+,Stable,2007-11-01
Suriname,S&P,B+,Positive,2009-12-01
Suriname,S&P,B+,Positive,2011-03-01
Suriname,S&P,BB-,Stable,2011-08-01
Suriname,S&P,BB-,Positive,2013-04-01
Suriname,S&P,BB-,Stable,2014-04-01
Suriname,S&P,B+,Negative,2016-04-01
Suriname,S&P,B,Negative,2017-04-01
Suriname,S&P,B,Stable,2018-04-01
Suriname,S&P,CCC+,Negative,2020-04-01
Suriname,S&P,CCC+,Negative,2020-04-01
Suriname,S&P,CCC-,Negative,2020-07-01
Suriname,S&P,CCC+,NR,2025-10-01
