Country,Agency,Rating,Outlook,Date
Sweden,Fitch,AA,Stable,2000-09-01
Sweden,Fitch,AA,Positive,2001-07-01
Sweden,Fitch,AA+,Stable,2002-03-01
Sweden,Fitch,AAA,Stable,2004-03-01
Sweden,Fitch,AAA,Stable,2011-07-01
Sweden,Fitch,AAA,Stable,2011-10-01
Sweden,Fitch,AAA,Stable,2011-12-01
Sweden,Fitch,AAA,Stable,2012-01-01
Sweden,Fitch,AAA,Stable,2012-02-01
Sweden,Fitch,AAA,Stable,2012-04-01
Sweden,Fitch,AAA,Stable,2012-07-01
Sweden,Fitch,AAA,Stable,2013-03-01
Sweden,Fitch,AAA,Stable,2013-05-01
Sweden,Fitch,AAA,Stable,2013-06-01
Sweden,Fitch,AAA,Stable,2013-07-01
Sweden,Fitch,AAA,Stable,2013-09-01
Sweden,Fitch,AAA,Stable,2013-12-01
Sweden,Fitch,AAA,Stable,2014-01-01
Sweden,Fitch,AAA,Stable,2014-02-01
Sweden,Fitch,AAA,Stable,2014-07-01
Sweden,Fitch,AAA,Stable,2015-12-01
Sweden,Fitch,AAA,Stable,2016-03-01
Sweden,Fitch,AAA,Stable,2016-07-01
Sweden,Fitch,AAA,Stable,2016-08-01
Sweden,Fitch,AAA,Stable,2017-02-01
Sweden,Fitch,AAA,Stable,2017-08-01
Sweden,Fitch,AAA,Stable,2018-02-01
Sweden,Fitch,AAA,Stable,2018-07-01
Sweden,Fitch,AAA,Stable,2019-01-01
Sweden,Fitch,AAA,Stable,2019-06-01
Sweden,Fitch,AAA,Stable,2019-12-01
Sweden,Fitch,AAA,Stable,2020-06-01
Sweden,Fitch,AAA,Stable,2021-06-01
Sweden,Fitch,AAA,Stable,2022-06-01
Sweden,Fitch,AAA,Stable,2023-05-01
Sweden,Fitch,AAA,Stable,2023-10-01
Sweden,Fitch,AAA,Stable,2024-04-01
Sweden,Fitch,AAA,Stable,2024-10-01
Sweden,Fitch,AAA,Stable,2026-03-01
Sweden,Moody's,Aaa,Stable,1977-11-01
Sweden,Moody's,Aa1,Stable,1991-01-01
Sweden,Moody's,Aa2,Stable,1993-02-01
Sweden,Moody's,Aa2,Negative watch,1994-10-01
Sweden,Moody's,Aa3,Stable,1995-01-01
Sweden,Moody's,Aa3,Positive watch,1998-05-01
Sweden,Moody's,Aa2,Stable,1998-06-01
Sweden,Moody's,Aa1,Stable,1999-08-01
Sweden,Moody's,Aaa,Stable,2002-04-01
Sweden,Moody's,Aaa,Stable,2016-04-01
Sweden,Moody's,Aaa,Stable,2018-03-01
Sweden,Moody's,Aaa,Stable,2020-03-01
Sweden,Moody's,Aaa,Stable,2020-03-01
Sweden,Moody's,Aaa,Stable,2022-03-01
Sweden,Moody's,Aaa,Stable,2024-02-01
Sweden,Moody's,Aaa,Stable,2026-02-01
Sweden,S&P,AAA,Stable,1989-06-01
Sweden,S&P,AAA,Negative,1990-10-01
Sweden,S&P,AA+,Stable,1993-03-01
Sweden,S&P,AA+,Stable,1993-08-01
Sweden,S&P,AA+,Negative,1995-01-01
Sweden,S&P,AA+,Stable,1997-04-01
Sweden,S&P,AA+,Positive,2000-07-01
Sweden,S&P,AAA,Stable,2004-02-01
Sweden,S&P,AAA,Stable,2005-11-01
