Country,Agency,Rating,Outlook,Date
Switzerland,Fitch,AAA,Stable,2000-09-01
Switzerland,Fitch,AAA,Stable,2011-07-01
Switzerland,Fitch,AAA,Stable,2011-11-01
Switzerland,Fitch,AAA,Stable,2011-12-01
Switzerland,Fitch,AAA,Stable,2012-01-01
Switzerland,Fitch,AAA,Stable,2012-02-01
Switzerland,Fitch,AAA,Stable,2012-04-01
Switzerland,Fitch,AAA,Stable,2012-05-01
Switzerland,Fitch,AAA,Stable,2012-06-01
Switzerland,Fitch,AAA,Stable,2012-07-01
Switzerland,Fitch,AAA,Stable,2012-08-01
Switzerland,Fitch,AAA,Stable,2013-03-01
Switzerland,Fitch,AAA,Stable,2013-05-01
Switzerland,Fitch,AAA,Stable,2013-06-01
Switzerland,Fitch,AAA,Stable,2013-07-01
Switzerland,Fitch,AAA,Stable,2013-08-01
Switzerland,Fitch,AAA,Stable,2013-10-01
Switzerland,Fitch,AAA,Stable,2013-11-01
Switzerland,Fitch,AAA,Stable,2013-12-01
Switzerland,Fitch,AAA,Stable,2014-01-01
Switzerland,Fitch,AAA,Stable,2014-02-01
Switzerland,Fitch,AAA,Stable,2014-03-01
Switzerland,Fitch,AAA,Stable,2014-04-01
Switzerland,Fitch,AAA,Stable,2014-05-01
Switzerland,Fitch,AAA,Stable,2014-06-01
Switzerland,Fitch,AAA,Stable,2014-07-01
Switzerland,Fitch,AAA,Stable,2014-08-01
Switzerland,Fitch,AAA,Stable,2014-09-01
Switzerland,Fitch,AAA,Stable,2014-11-01
Switzerland,Fitch,AAA,Stable,2015-10-01
Switzerland,Fitch,AAA,Stable,2016-04-01
Switzerland,Fitch,AAA,Stable,2016-07-01
Switzerland,Fitch,AAA,Stable,2016-10-01
Switzerland,Fitch,AAA,Stable,2017-03-01
Switzerland,Fitch,AAA,Stable,2017-09-01
Switzerland,Fitch,AAA,Stable,2018-03-01
Switzerland,Fitch,AAA,Stable,2018-09-01
Switzerland,Fitch,AAA,Stable,2019-03-01
Switzerland,Fitch,AAA,Stable,2019-08-01
Switzerland,Fitch,AAA,Stable,2020-02-01
Switzerland,Fitch,AAA,Stable,2020-07-01
Switzerland,Fitch,AAA,Stable,2020-12-01
Switzerland,Fitch,AAA,Stable,2021-05-01
Switzerland,Fitch,AAA,Stable,2021-12-01
Switzerland,Fitch,AAA,Stable,2022-05-01
Switzerland,Fitch,AAA,Stable,2022-11-01
Switzerland,Fitch,AAA,Stable,2023-05-01
Switzerland,Fitch,AAA,Stable,2023-11-01
Switzerland,Fitch,AAA,Stable,2024-04-01
Switzerland,Fitch,AAA,Stable,2024-10-01
Switzerland,Fitch,AAA,Stable,2025-04-01
Switzerland,Fitch,AAA,Stable,2026-03-01
Switzerland,Moody's,Aaa,Stable,1982-01-01
Switzerland,Moody's,Aaa,Stable,2013-05-01
Switzerland,Moody's,Aaa,Stable,2016-12-01
Switzerland,Moody's,Aaa,Stable,2018-12-01
Switzerland,Moody's,Aaa,Stable,2020-11-01
Switzerland,Moody's,Aaa,Stable,2023-02-01
Switzerland,Moody's,Aaa,Stable,2025-02-01
Switzerland,S&P,AAA,Stable,1989-06-01
Switzerland,S&P,AAA,Stable,1992-07-01
Switzerland,S&P,AAA,Stable,2005-11-01
