Country,Agency,Rating,Outlook,Date
Taiwan,Fitch,A+,Stable,2001-11-01
Taiwan,Fitch,A+,Stable,2009-01-01
Taiwan,Fitch,A+,Stable,2011-03-01
Taiwan,Fitch,A+,Stable,2011-10-01
Taiwan,Fitch,A+,Stable,2012-01-01
Taiwan,Fitch,A+,Stable,2012-02-01
Taiwan,Fitch,A+,Stable,2012-06-01
Taiwan,Fitch,A+,Stable,2012-08-01
Taiwan,Fitch,A+,Stable,2013-03-01
Taiwan,Fitch,A+,Stable,2013-07-01
Taiwan,Fitch,A+,Stable,2013-08-01
Taiwan,Fitch,A+,Stable,2013-09-01
Taiwan,Fitch,A+,Stable,2014-01-01
Taiwan,Fitch,A+,Stable,2014-03-01
Taiwan,Fitch,A+,Stable,2014-04-01
Taiwan,Fitch,A+,Stable,2014-05-01
Taiwan,Fitch,A+,Stable,2014-07-01
Taiwan,Fitch,A+,Stable,2014-08-01
Taiwan,Fitch,A+,Positive,2015-10-01
Taiwan,Fitch,A+,Positive,2016-07-01
Taiwan,Fitch,AA-,Stable,2016-10-01
Taiwan,Fitch,AA-,Stable,2017-10-01
Taiwan,Fitch,AA-,Stable,2019-09-01
Taiwan,Fitch,AA-,Stable,2020-09-01
Taiwan,Fitch,AA,Stable,2021-09-01
Taiwan,Fitch,AA,Stable,2022-09-01
Taiwan,Fitch,AA,Stable,2023-08-01
Taiwan,Fitch,AA,Stable,2024-08-01
Taiwan,Fitch,AA,Stable,2025-08-01
Taiwan,Moody's,Aa3,Stable,2002-01-01
Taiwan,Moody's,Aa3,Stable,2013-10-01
Taiwan,Moody's,Aa3,Stable,2016-11-01
Taiwan,Moody's,Aa3,Stable,2018-11-01
Taiwan,Moody's,Aa3,Positive,2021-02-01
Taiwan,Moody's,Aa3,Stable,2022-09-01
Taiwan,S&P,AA,Positive,1989-06-01
Taiwan,S&P,AA+,Stable,1991-08-01
Taiwan,S&P,AA+,Stable,1998-06-01
Taiwan,S&P,AA+,Negative,2000-12-01
Taiwan,S&P,AA,Negative,2001-07-01
Taiwan,S&P,AA-,Stable,2002-12-01
Taiwan,S&P,AA-,Negative,2004-11-01
Taiwan,S&P,AA-,Negative,2005-11-01
Taiwan,S&P,AA-,Negative,2005-11-01
Taiwan,S&P,AA-,Stable,2008-04-01
Taiwan,S&P,AA-,Negative,2009-04-01
Taiwan,S&P,AA-,Stable,2010-06-01
