Country,Agency,Rating,Outlook,Date
Thailand,Fitch,BB+,Positive,1999-04-01
Thailand,Fitch,BBB-,Stable,2000-09-01
Thailand,Fitch,BBB-,Positive,2002-10-01
Thailand,Fitch,BBB,Stable,2003-09-01
Thailand,Fitch,BBB,Stable,2004-03-01
Thailand,Fitch,BBB+,Stable,2005-05-01
Thailand,Fitch,BBB+,Negative,2006-09-01
Thailand,Fitch,BBB+,Stable,2006-10-01
Thailand,Fitch,BBB+,Negative,2008-12-01
Thailand,Fitch,BBB,Stable,2009-04-01
Thailand,Fitch,BBB,Stable,2010-04-01
Thailand,Fitch,BBB,Stable,2011-05-01
Thailand,Fitch,BBB,Stable,2011-09-01
Thailand,Fitch,BBB,Stable,2011-11-01
Thailand,Fitch,BBB,Stable,2012-05-01
Thailand,Fitch,BBB,Stable,2012-07-01
Thailand,Fitch,BBB,Stable,2012-08-01
Thailand,Fitch,BBB+,Stable,2013-03-01
Thailand,Fitch,BBB+,Stable,2013-10-01
Thailand,Fitch,BBB+,Stable,2013-11-01
Thailand,Fitch,BBB+,Stable,2013-12-01
Thailand,Fitch,BBB+,Stable,2014-01-01
Thailand,Fitch,BBB+,Stable,2014-02-01
Thailand,Fitch,BBB+,Stable,2014-03-01
Thailand,Fitch,BBB+,Stable,2014-04-01
Thailand,Fitch,BBB+,Stable,2014-05-01
Thailand,Fitch,BBB+,Stable,2014-06-01
Thailand,Fitch,BBB+,Stable,2014-07-01
Thailand,Fitch,BBB+,Stable,2014-08-01
Thailand,Fitch,BBB+,Stable,2014-09-01
Thailand,Fitch,BBB+,Stable,2014-10-01
Thailand,Fitch,BBB+,Stable,2015-11-01
Thailand,Fitch,BBB+,Stable,2016-07-01
Thailand,Fitch,BBB+,Stable,2017-06-01
Thailand,Fitch,BBB+,Stable,2018-06-01
Thailand,Fitch,BBB+,Stable,2018-12-01
Thailand,Fitch,BBB+,Positive,2019-07-01
Thailand,Fitch,BBB+,Stable,2020-03-01
Thailand,Fitch,BBB+,Stable,2020-10-01
Thailand,Fitch,BBB+,Stable,2021-06-01
Thailand,Fitch,BBB+,Stable,2021-12-01
Thailand,Fitch,BBB+,Stable,2022-06-01
Thailand,Fitch,BBB+,Stable,2023-07-01
Thailand,Fitch,BBB+,Stable,2023-11-01
Thailand,Fitch,BBB+,Stable,2024-11-01
Thailand,Fitch,BBB+,Negative,2025-09-01
Thailand,Fitch,BBB+,Negative,2025-09-01
Thailand,Moody's,Baa3,Positive,2002-11-01
Thailand,Moody's,Baa1,Stable,2003-11-01
Thailand,Moody's,Baa1,Negative,2008-12-01
Thailand,Moody's,P-2,Stable,2010-10-01
Thailand,Moody's,Baa1,Stable,2014-02-01
Thailand,Moody's,Baa1,Stable,2014-06-01
Thailand,Moody's,Baa1,Stable,2017-07-01
Thailand,Moody's,Baa1,Positive,2019-07-01
Thailand,Moody's,Baa1,Stable,2020-04-01
Thailand,Moody's,Baa1,Stable,2022-04-01
Thailand,Moody's,Baa1,Stable,2024-04-01
Thailand,Moody's,Baa1,Stable,2024-10-01
Thailand,Moody's,Baa1,Negative,2025-04-01
Thailand,Moody's,Baa1,Stable,2026-04-01
Thailand,S&P,A-,Positive,1989-06-01
Thailand,S&P,A-,Stable,1991-02-01
Thailand,S&P,A-,Negative watch,1992-05-01
Thailand,S&P,A-,Stable,1992-12-01
Thailand,S&P,A,Stable,1994-12-01
Thailand,S&P,A,Stable,1996-05-01
Thailand,S&P,A,Negative watch,1997-08-01
Thailand,S&P,A-,Negative,1997-09-01
Thailand,S&P,BBB,Negative,1997-10-01
Thailand,S&P,BBB-,Negative,1998-01-01
Thailand,S&P,BBB-,Stable,1999-05-01
Thailand,S&P,BBB-,Positive,2002-08-01
Thailand,S&P,BBB,Positive,2003-10-01
Thailand,S&P,BBB+,Stable,2004-08-01
Thailand,S&P,BBB+,Stable,2005-11-01
Thailand,S&P,BBB+,Stable,2005-11-01
Thailand,S&P,BBB+,Negative watch,2006-09-01
Thailand,S&P,BBB+,Stable,2006-10-01
Thailand,S&P,BBB+,Negative,2008-12-01
Thailand,S&P,BBB+,Negative,2009-04-01
Thailand,S&P,BBB+,Stable,2010-12-01
Thailand,S&P,BBB+,Positive,2019-12-01
Thailand,S&P,BBB+,Stable,2020-04-01
Thailand,S&P,BBB+,Stable,2020-04-01
