Country,Agency,Rating,Outlook,Date
Tunisia,Fitch,BBB-,Positive,2000-09-01
Tunisia,Fitch,BBB,Stable,2001-05-01
Tunisia,Fitch,BBB,Negative,2011-01-01
Tunisia,Fitch,BBB-,Negative,2011-03-01
Tunisia,Fitch,BBB-,Negative,2011-10-01
Tunisia,Fitch,BBB-,Negative,2012-02-01
Tunisia,Fitch,BB+,Negative,2012-12-01
Tunisia,Fitch,BB-,Negative,2013-10-01
Tunisia,Fitch,BB-,Negative,2014-04-01
Tunisia,Fitch,BB-,Negative,2014-10-01
Tunisia,Fitch,BB-,Negative,2016-03-01
Tunisia,Fitch,BB-,Negative,2016-07-01
Tunisia,Fitch,BB-,Negative,2016-08-01
Tunisia,Fitch,BB+,Stable,2017-02-01
Tunisia,Fitch,BB+,Stable,2017-05-01
Tunisia,Fitch,B+,Stable,2017-11-01
Tunisia,Fitch,B+,Negative,2018-05-01
Tunisia,Fitch,B+,Negative,2018-12-01
Tunisia,Fitch,B+,Negative,2019-06-01
Tunisia,Fitch,B+,Negative,2019-07-01
Tunisia,Fitch,B+,Negative,2020-02-01
Tunisia,Fitch,B,Stable,2020-05-01
Tunisia,Fitch,B,Negative,2020-11-01
Tunisia,Fitch,B-,Negative,2021-07-01
Tunisia,Fitch,CCC,NR,2022-03-01
Tunisia,Fitch,CCC+,NR,2023-03-01
Tunisia,Fitch,CCC-,NR,2023-06-01
Tunisia,Fitch,CCC-,NR,2023-12-01
Tunisia,Fitch,CCC+,NR,2024-09-01
Tunisia,Fitch,B-,Stable,2025-09-01
Tunisia,Fitch,B-,Stable,2026-01-01
Tunisia,Moody's,Baa3,Stable,1995-04-01
Tunisia,Moody's,Baa2,Stable,2003-04-01
Tunisia,Moody's,Baa2,Stable,2003-11-01
Tunisia,Moody's,Baa3,Negative,2011-01-01
Tunisia,Moody's,Ba1,Negative watch,2013-02-01
Tunisia,Moody's,Ba2,Negative,2013-03-01
Tunisia,Moody's,Ba3,Negative,2013-11-01
Tunisia,Moody's,Ba3,Stable,2015-05-01
Tunisia,Moody's,Ba3,Stable,2016-02-01
Tunisia,Moody's,Ba3,Negative,2016-11-01
Tunisia,Moody's,B1,Negative,2017-08-01
Tunisia,Moody's,B2,Negative,2018-03-01
Tunisia,Moody's,B2,Negative,2018-10-01
Tunisia,Moody's,B2,Stable,2019-01-01
Tunisia,Moody's,B2,Stable,2020-02-01
Tunisia,Moody's,B2,Stable,2020-02-01
Tunisia,Moody's,B2,Under Review,2020-04-01
Tunisia,Moody's,B2,Negative,2020-10-01
Tunisia,Moody's,B3,Negative,2021-02-01
Tunisia,Moody's,Caa1,Negative,2021-10-01
Tunisia,Moody's,Caa2,Under Review,2022-09-01
Tunisia,Moody's,Caa2,Negative,2023-01-01
Tunisia,Moody's,Caa2,Stable,2024-03-01
Tunisia,Moody's,Caa1,Stable,2025-02-01
Tunisia,S&P,BBB-,Stable,1997-04-01
Tunisia,S&P,BBB,Stable,2000-03-01
Tunisia,S&P,BBB,Stable,2005-11-01
Tunisia,S&P,BBB,Stable,2006-04-01
Tunisia,S&P,BBB,Stable,2009-04-01
Tunisia,S&P,BBB,Negative watch,2011-01-01
Tunisia,S&P,BBB-,Stable,2011-03-01
Tunisia,S&P,BBB-,Negative,2011-07-01
Tunisia,S&P,BB,Stable,2012-05-01
Tunisia,S&P,BB-,Negative,2013-02-01
Tunisia,S&P,B,Negative,2013-08-01
Tunisia,S&P,NR,NR,2013-12-01
