Country,Agency,Rating,Outlook,Date
Turkey,Fitch,BB-,Negative,1996-07-01
Turkey,Fitch,BB-,Stable,2000-09-01
Turkey,Fitch,BB-,Negative,2001-02-01
Turkey,Fitch,B+,Negative,2001-04-01
Turkey,Fitch,B,Negative,2001-08-01
Turkey,Fitch,B,Stable,2002-02-01
Turkey,Fitch,B-,Negative,2003-03-01
Turkey,Fitch,B-,Positive,2003-08-01
Turkey,Fitch,B,Positive,2003-09-01
Turkey,Fitch,B+,Stable,2004-02-01
Turkey,Fitch,B+,Positive,2004-08-01
Turkey,Fitch,BB-,Stable,2005-01-01
Turkey,Fitch,BB-,Positive,2005-12-01
Turkey,Fitch,BB-,Stable,2007-05-01
Turkey,Fitch,BB-,Stable,2007-12-01
Turkey,Fitch,BB-,Positive,2009-10-01
Turkey,Fitch,BB+,Stable,2009-12-01
Turkey,Fitch,BB+,Positive,2010-11-01
Turkey,Fitch,BB+,Stable,2011-11-01
Turkey,Fitch,BB+,Stable,2011-12-01
Turkey,Fitch,BB+,Stable,2012-01-01
Turkey,Fitch,BB+,Stable,2012-02-01
Turkey,Fitch,BB+,Stable,2012-03-01
Turkey,Fitch,BB+,Stable,2012-08-01
Turkey,Fitch,BBB-,Stable,2013-02-01
Turkey,Fitch,BBB-,Stable,2013-03-01
Turkey,Fitch,BBB-,Stable,2013-05-01
Turkey,Fitch,BBB-,Stable,2013-07-01
Turkey,Fitch,BBB-,Stable,2013-08-01
Turkey,Fitch,BBB-,Stable,2013-10-01
Turkey,Fitch,BBB-,Stable,2013-11-01
Turkey,Fitch,BBB-,Stable,2013-12-01
Turkey,Fitch,BBB-,Stable,2014-01-01
Turkey,Fitch,BBB-,Stable,2014-02-01
Turkey,Fitch,BBB-,Stable,2014-03-01
Turkey,Fitch,BBB-,Stable,2014-04-01
Turkey,Fitch,BBB-,Stable,2014-05-01
Turkey,Fitch,BBB-,Stable,2014-06-01
Turkey,Fitch,BBB-,Stable,2014-07-01
Turkey,Fitch,BBB-,Stable,2014-08-01
Turkey,Fitch,BBB-,Stable,2014-10-01
Turkey,Fitch,BBB-,Stable,2016-02-01
Turkey,Fitch,BBB-,Stable,2016-07-01
Turkey,Fitch,BBB-,Negative,2016-08-01
Turkey,Fitch,BB+,Stable,2017-01-01
Turkey,Fitch,BB+,Stable,2017-07-01
Turkey,Fitch,BB+,Stable,2018-01-01
Turkey,Fitch,BB,Negative,2018-07-01
Turkey,Fitch,BB,Negative,2018-12-01
Turkey,Fitch,BB,Negative,2019-05-01
Turkey,Fitch,BB-,Negative,2019-07-01
Turkey,Fitch,BB-,Stable,2019-11-01
Turkey,Fitch,BB-,Stable,2020-02-01
Turkey,Fitch,BB-,Stable,2020-02-01
Turkey,Fitch,BB-,Negative,2020-08-01
Turkey,Fitch,BB-,Stable,2021-02-01
Turkey,Fitch,BB-,Stable,2021-08-01
Turkey,Fitch,BB-,Negative,2021-12-01
Turkey,Fitch,B+,Negative,2022-02-01
Turkey,Fitch,B,Negative,2022-07-01
Turkey,Fitch,B,Negative,2023-03-01
Turkey,Fitch,B,Stable,2023-09-01
Turkey,Fitch,B+,Positive,2024-03-01
Turkey,Fitch,BB-,Stable,2024-09-01
Turkey,Fitch,BB-,Stable,2025-01-01
Turkey,Fitch,BB-,Stable,2025-07-01
Turkey,Fitch,BB-,Positive,2026-01-01
Turkey,Moody's,Baa3,Stable,1992-05-01
Turkey,Moody's,Ba1,Stable,1994-01-01
Turkey,Moody's,Ba3,Stable,1994-06-01
Turkey,Moody's,Ba3,Negative watch,1997-01-01
Turkey,Moody's,B1,Stable,1997-03-01
Turkey,Moody's,B1,Positive watch,2000-07-01
Turkey,Moody's,B1,Stable,2000-12-01
Turkey,Moody's,Ba3,Positive,2005-02-01
Turkey,Moody's,Ba3,Stable,2005-12-01
Turkey,Moody's,Ba2,Stable,2010-01-01
Turkey,Moody's,Ba1,Positive,2012-06-01
Turkey,Moody's,Baa3,Stable,2013-05-01
Turkey,Moody's,Baa3,Negative,2014-04-01
Turkey,Moody's,Ba3,Negative,2015-12-01
Turkey,Moody's,Baa3,Negative watch,2016-07-01
Turkey,Moody's,Ba1,Stable,2016-09-01
Turkey,Moody's,Ba1,Negative,2017-05-01
Turkey,Moody's,Ba3,Negative,2018-08-01
Turkey,Moody's,B1,Negative,2019-06-01
Turkey,Moody's,B2,Negative,2020-09-01
Turkey,Moody's,B2,Negative,2021-12-01
Turkey,Moody's,B3,Stable,2022-08-01
Turkey,Moody's,B3,Positive,2024-01-01
Turkey,Moody's,Ba3,Stable,2025-07-01
Turkey,S&P,BBB,Stable,1992-05-01
Turkey,S&P,BBB,Negative,1993-05-01
Turkey,S&P,BBB-,Negative,1994-01-01
Turkey,S&P,B+,Negative watch,1994-04-01
Turkey,S&P,BB,Negative watch,1994-04-01
Turkey,S&P,B+,Stable,1994-08-01
Turkey,S&P,B+,Positive,1995-07-01
Turkey,S&P,B+,Stable,1995-10-01
Turkey,S&P,B+,Negative watch,1996-07-01
Turkey,S&P,B,Stable,1996-12-01
Turkey,S&P,B,Positive,1998-08-01
Turkey,S&P,B,Stable,1999-01-01
Turkey,S&P,B,Positive,1999-12-01
Turkey,S&P,B+,Positive,2000-04-01
Turkey,S&P,B+,Stable,2000-12-01
Turkey,S&P,B+,Negative watch,2001-02-01
Turkey,S&P,B,Negative watch,2001-02-01
Turkey,S&P,B-,Stable,2001-04-01
Turkey,S&P,B-,Negative watch,2001-04-01
Turkey,S&P,B-,Negative,2001-07-01
Turkey,S&P,B-,Stable,2001-11-01
