Country,Agency,Rating,Outlook,Date
Uganda,Fitch,B,Stable,2005-03-01
Uganda,Fitch,B,Positive,2009-08-01
Uganda,Fitch,B,Stable,2011-10-01
Uganda,Fitch,B,Stable,2012-10-01
Uganda,Fitch,B+,Stable,2015-08-01
Uganda,Fitch,B+,Stable,2016-07-01
Uganda,Fitch,B+,Stable,2016-08-01
Uganda,Fitch,B+,Stable,2017-08-01
Uganda,Fitch,B+,Stable,2018-07-01
Uganda,Fitch,B+,Stable,2019-06-01
Uganda,Fitch,B+,Negative,2020-06-01
Uganda,Fitch,B+,Negative,2021-06-01
Uganda,Fitch,B+,Stable,2022-06-01
Uganda,Fitch,B+,Negative,2023-03-01
Uganda,Fitch,B+,Negative,2023-09-01
Uganda,Fitch,B+,Negative,2024-03-01
Uganda,Fitch,B,Stable,2024-08-01
Uganda,Fitch,B,Stable,2025-08-01
Uganda,Fitch,B,Stable,2026-02-01
Uganda,Fitch,B,Stable,2026-02-01
Uganda,Moody's,B1,Stable,2013-12-01
Uganda,Moody's,B1,Negative,2015-11-01
Uganda,Moody's,B2,Stable,2016-11-01
Uganda,Moody's,B2,Stable,2018-03-01
Uganda,Moody's,B2,Stable,2020-11-01
Uganda,Moody's,B2,Negative,2022-11-01
Uganda,Moody's,B3,Stable,2024-05-01
Uganda,Moody's,B3,Stable,2026-05-01
Uganda,S&P,B+,Stable,2008-12-01
Uganda,S&P,B+,Negative,2012-12-01
Uganda,S&P,B,Stable,2014-01-01
Uganda,S&P,B-,Positive,2025-11-01
