Country,Agency,Rating,Outlook,Date
United Arab Emirates,Fitch,AA,Stable,2007-07-01
United Arab Emirates,Fitch,AA,Stable,2011-09-01
United Arab Emirates,Fitch,AA,Stable,2012-09-01
United Arab Emirates,Fitch,AA,Stable,2013-08-01
United Arab Emirates,Fitch,AA,Stable,2014-02-01
United Arab Emirates,Fitch,AA,Stable,2014-08-01
United Arab Emirates,Fitch,AA,Stable,2014-11-01
United Arab Emirates,Fitch,AA,Stable,2016-02-01
United Arab Emirates,Fitch,AA,Stable,2016-05-01
United Arab Emirates,Fitch,AA,Stable,2016-07-01
United Arab Emirates,Fitch,AA,Stable,2016-12-01
United Arab Emirates,Fitch,AA,Stable,2017-01-01
United Arab Emirates,Fitch,AA,Stable,2017-08-01
United Arab Emirates,Fitch,AA,Stable,2017-08-01
United Arab Emirates,Fitch,AA,Stable,2017-12-01
United Arab Emirates,Fitch,A,Stable,2018-08-01
United Arab Emirates,Fitch,A,Developing,2019-08-01
United Arab Emirates,Fitch,AA,Stable,2019-10-01
United Arab Emirates,Fitch,AA-,Stable,2020-11-01
United Arab Emirates,Fitch,AA-,Stable,2021-11-01
United Arab Emirates,Fitch,AA-,Stable,2022-10-01
United Arab Emirates,Fitch,AA-,Stable,2023-07-01
United Arab Emirates,Fitch,AA-,Stable,2024-07-01
United Arab Emirates,Fitch,AA-,Stable,2025-06-01
United Arab Emirates,Fitch,AA,Stable,2026-05-01
United Arab Emirates,Fitch,AA-,Stable,2026-05-01
United Arab Emirates,Moody's,A2,Stable,2003-11-01
United Arab Emirates,Moody's,A1,Under Review,2006-09-01
United Arab Emirates,Moody's,Aa3,Stable,2006-10-01
United Arab Emirates,Moody's,Aa2,Under Review,2016-03-01
United Arab Emirates,Moody's,Aa2,Negative,2016-05-01
United Arab Emirates,Moody's,Aa2,Stable,2017-05-01
United Arab Emirates,Moody's,Aa2,Stable,2019-01-01
United Arab Emirates,Moody's,Aa2,Stable,2019-03-01
United Arab Emirates,Moody's,Aa2,Stable,2019-10-01
United Arab Emirates,Moody's,Aa2,Stable,2021-05-01
United Arab Emirates,Moody's,Aa2,Stable,2023-03-01
United Arab Emirates,Moody's,Aa2,Stable,2025-03-01
United Arab Emirates,Moody's,Aa2,Stable,2026-06-01
United Arab Emirates,S&P,AA,Stable,2007-07-01
United Arab Emirates,S&P,AA,Developing,2019-09-01
United Arab Emirates,S&P,AA,Stable,2025-06-01
United Arab Emirates,S&P,AA,NR,2025-09-01
United Arab Emirates,S&P,AA,NR,2026-04-01
