Country,Agency,Rating,Outlook,Date
United Kingdom,Fitch,AAA,Stable,2000-09-01
United Kingdom,Fitch,AAA,Stable,2011-10-01
United Kingdom,Fitch,AAA,Stable,2011-11-01
United Kingdom,Fitch,AAA,Stable,2011-12-01
United Kingdom,Fitch,AAA,Stable,2012-01-01
United Kingdom,Fitch,AAA,Stable,2012-02-01
United Kingdom,Fitch,AAA,Negative,2012-03-01
United Kingdom,Fitch,AAA,Negative,2012-04-01
United Kingdom,Fitch,AAA,Negative,2012-07-01
United Kingdom,Fitch,AAA,Negative,2012-08-01
United Kingdom,Fitch,AAA,Negative,2013-03-01
United Kingdom,Fitch,AA+,Stable,2013-05-01
United Kingdom,Fitch,AA+,Stable,2013-06-01
United Kingdom,Fitch,AA+,Stable,2013-07-01
United Kingdom,Fitch,AA+,Stable,2013-09-01
United Kingdom,Fitch,AA+,Stable,2013-10-01
United Kingdom,Fitch,AA+,Stable,2013-11-01
United Kingdom,Fitch,AA+,Stable,2013-12-01
United Kingdom,Fitch,AA+,Stable,2014-01-01
United Kingdom,Fitch,AA+,Stable,2014-02-01
United Kingdom,Fitch,AA+,Stable,2014-03-01
United Kingdom,Fitch,AA+,Stable,2014-04-01
United Kingdom,Fitch,AA+,Stable,2014-05-01
United Kingdom,Fitch,AA+,Stable,2014-06-01
United Kingdom,Fitch,AA+,Stable,2014-07-01
United Kingdom,Fitch,AA+,Stable,2014-08-01
United Kingdom,Fitch,AA+,Stable,2014-09-01
United Kingdom,Fitch,AA+,Stable,2015-12-01
United Kingdom,Fitch,AA,Negative,2016-06-01
United Kingdom,Fitch,AA,Negative,2016-07-01
United Kingdom,Fitch,AA,Negative,2016-12-01
United Kingdom,Fitch,AA,Negative,2017-05-01
United Kingdom,Fitch,AA,Negative,2017-10-01
United Kingdom,Fitch,AA,Negative,2018-04-01
United Kingdom,Fitch,AA,Negative watch,2019-04-01
United Kingdom,Fitch,AA,Negative watch,2019-10-01
United Kingdom,Fitch,AA,Negative,2019-12-01
United Kingdom,Fitch,AA-,Negative,2020-03-01
United Kingdom,Fitch,AA-,Negative,2020-03-01
United Kingdom,Fitch,AA-,Negative,2020-09-01
United Kingdom,Fitch,AA-,Negative,2021-01-01
United Kingdom,Fitch,AA-,Stable,2021-06-01
United Kingdom,Fitch,AA-,Stable,2021-12-01
United Kingdom,Fitch,AA-,Stable,2022-06-01
United Kingdom,Fitch,AA-,Negative,2022-10-01
United Kingdom,Fitch,AA-,Negative,2022-12-01
United Kingdom,Fitch,AA-,Negative,2023-06-01
United Kingdom,Fitch,AA-,Negative,2023-12-01
United Kingdom,Fitch,AA-,Stable,2024-03-01
United Kingdom,Fitch,AA-,Stable,2024-09-01
United Kingdom,Fitch,AA-,Stable,2025-02-01
United Kingdom,Fitch,AA-,Stable,2025-08-01
United Kingdom,Fitch,AA-,Stable,2026-02-01
United Kingdom,Moody's,Aaa,Stable,1978-03-01
United Kingdom,Moody's,Aaa,Negative,2012-02-01
United Kingdom,Moody's,Aa1,Stable,2013-02-01
United Kingdom,Moody's,Aa1,Stable,2014-09-01
United Kingdom,Moody's,Aa1,Negative,2016-06-01
United Kingdom,Moody's,Aa2,Stable,2017-09-01
United Kingdom,Moody's,Aa2,Negative,2019-11-01
United Kingdom,Moody's,Aa3,Stable,2020-10-01
United Kingdom,Moody's,Aa3,Stable,2020-10-01
United Kingdom,Moody's,B3,Negative watch,2022-02-01
United Kingdom,Moody's,Aa3,Negative,2022-11-01
United Kingdom,Moody's,Aa3,Stable,2023-10-01
United Kingdom,Moody's,Aa3,Stable,2025-11-01
United Kingdom,S&P,AAA,Stable,1989-06-01
United Kingdom,S&P,AAA,Stable,1993-10-01
United Kingdom,S&P,AAA,Stable,1995-08-01
United Kingdom,S&P,AAA,Stable,2005-11-01
United Kingdom,S&P,AAA,Negative,2009-05-01
United Kingdom,S&P,AAA,Stable,2010-10-01
United Kingdom,S&P,AAA,Negative,2012-12-01
United Kingdom,S&P,AAA,Stable,2014-06-01
United Kingdom,S&P,AAA,Negative,2015-06-01
United Kingdom,S&P,AA,Negative,2016-06-01
United Kingdom,S&P,AA,Stable,2019-12-01
United Kingdom,S&P,AA-,Stable,2025-02-01
