Country,Agency,Rating,Outlook,Date
Uruguay,Fitch,BBB-,Stable,2000-09-01
Uruguay,Fitch,BBB-,Negative,2001-07-01
Uruguay,Fitch,BB+,Negative,2002-03-01
Uruguay,Fitch,B+,Negative,2002-05-01
Uruguay,Fitch,B,Negative,2002-07-01
Uruguay,Fitch,B-,Negative,2003-01-01
Uruguay,Fitch,CCC-,Negative,2003-03-01
Uruguay,Fitch,B-,Stable,2003-06-01
Uruguay,Fitch,B,Stable,2004-03-01
Uruguay,Fitch,B+,Stable,2005-03-01
Uruguay,Fitch,B+,Positive,2006-05-01
Uruguay,Fitch,BB-,Stable,2007-07-01
Uruguay,Fitch,BB-,Positive,2009-07-01
Uruguay,Fitch,BB,Positive,2010-07-01
Uruguay,Fitch,BB+,Stable,2011-07-01
Uruguay,Fitch,BB+,Stable,2011-12-01
Uruguay,Fitch,BBB-,Stable,2013-03-01
Uruguay,Fitch,BBB-,Stable,2013-09-01
Uruguay,Fitch,BBB-,Stable,2014-03-01
Uruguay,Fitch,BBB-,Stable,2014-06-01
Uruguay,Fitch,BBB-,Stable,2015-08-01
Uruguay,Fitch,BBB-,Stable,2016-03-01
Uruguay,Fitch,BBB-,Stable,2016-07-01
Uruguay,Fitch,BBB-,Stable,2016-10-01
Uruguay,Fitch,BBB-,Stable,2017-04-01
Uruguay,Fitch,BBB-,Stable,2017-09-01
Uruguay,Fitch,BBB-,Stable,2017-09-01
Uruguay,Fitch,BBB-,Stable,2018-04-01
Uruguay,Fitch,BBB-,Negative,2019-06-01
Uruguay,Fitch,BBB-,Negative,2020-02-01
Uruguay,Fitch,BBB-,Negative,2020-02-01
Uruguay,Fitch,BBB-,Negative,2020-10-01
Uruguay,Fitch,BBB-,Negative,2021-06-01
Uruguay,Fitch,BBB-,Stable,2021-12-01
Uruguay,Fitch,BBB-,Stable,2022-06-01
Uruguay,Fitch,BBB,Stable,2023-06-01
Uruguay,Fitch,BBB,Stable,2024-06-01
Uruguay,Fitch,BBB,NR,2025-06-01
Uruguay,Fitch,BBB,Stable,2025-09-01
Uruguay,Moody's,Baa3,Negative,2002-02-01
Uruguay,Moody's,B3,Negative,2003-11-01
Uruguay,Moody's,B3,Stable,2004-11-01
Uruguay,Moody's,B3,Under Review,2006-08-01
Uruguay,Moody's,B1,Stable,2006-12-01
Uruguay,Moody's,B1,Under Review,2008-08-01
Uruguay,Moody's,Ba3,Stable,2009-01-01
Uruguay,Moody's,Ba1,Stable,2010-12-01
Uruguay,Moody's,Ba1,Positive,2012-01-01
Uruguay,Moody's,Baa2,Stable,2014-05-01
Uruguay,Moody's,Baa2,Stable,2015-05-01
Uruguay,Moody's,Baa2,Negative,2016-06-01
Uruguay,Moody's,Baa2,Stable,2017-07-01
Uruguay,Moody's,Baa2,Stable,2019-08-01
Uruguay,Moody's,Baa2,Stable,2021-08-01
Uruguay,Moody's,Baa2,Positive,2023-05-01
Uruguay,Moody's,Baa1,Stable,2024-03-01
Uruguay,Moody's,Baa1,Stable,2026-01-01
Uruguay,S&P,BB+,Stable,1994-02-01
Uruguay,S&P,BB+,Stable,1995-11-01
Uruguay,S&P,BBB-,Stable,1997-06-01
Uruguay,S&P,BBB-,Negative,2002-01-01
Uruguay,S&P,BB+,Negative,2002-02-01
Uruguay,S&P,BB-,Negative,2002-05-01
Uruguay,S&P,B,Negative,2002-07-01
Uruguay,S&P,B-,Negative,2002-11-01
Uruguay,S&P,CCC,Negative,2003-02-01
Uruguay,S&P,CC,Negative,2003-04-01
Uruguay,S&P,B-,Stable,2003-06-01
Uruguay,S&P,B,Stable,2005-11-01
Uruguay,S&P,B,Stable,2005-11-01
Uruguay,S&P,B,Positive,2006-01-01
Uruguay,S&P,B,Positive,2006-04-01
Uruguay,S&P,B+,Stable,2006-09-01
Uruguay,S&P,B+,Positive,2007-05-01
Uruguay,S&P,BB-,Stable,2008-07-01
Uruguay,S&P,BB,Stable,2010-09-01
Uruguay,S&P,BB+,Stable,2011-07-01
Uruguay,S&P,BBB-,Stable,2012-04-01
Uruguay,S&P,BBB,Stable,2015-06-01
Uruguay,S&P,BBB,Negative,2016-06-01
Uruguay,S&P,BBB,Stable,2017-05-01
Uruguay,S&P,NR,NR,2019-06-01
Uruguay,S&P,BBB,Developing,2019-10-01
Uruguay,S&P,BBB+,Stable,2023-04-01
Uruguay,S&P,BBB+,NR,2025-07-01
