Country,Agency,Rating,Outlook,Date
USA,Fitch,AAA,Negative,1995-11-01
USA,Fitch,AAA,Stable,2000-09-01
USA,Fitch,AAA,Stable,2011-09-01
USA,Fitch,AAA,Stable,2011-11-01
USA,Fitch,AAA,Negative,2011-12-01
USA,Fitch,AAA,Negative,2012-01-01
USA,Fitch,AAA,Negative,2012-02-01
USA,Fitch,AAA,Negative,2012-06-01
USA,Fitch,AAA,Negative,2012-07-01
USA,Fitch,AAA,Negative,2013-03-01
USA,Fitch,AAA,Negative,2013-06-01
USA,Fitch,AAA,Negative,2013-07-01
USA,Fitch,AAA,Negative,2013-09-01
USA,Fitch,AAA,Negative,2013-10-01
USA,Fitch,AAA,Negative,2013-11-01
USA,Fitch,AAA,Negative,2013-12-01
USA,Fitch,AAA,Negative,2014-01-01
USA,Fitch,AAA,Negative,2014-02-01
USA,Fitch,AAA,Stable,2014-03-01
USA,Fitch,AAA,Stable,2014-04-01
USA,Fitch,AAA,Stable,2014-05-01
USA,Fitch,AAA,Stable,2014-06-01
USA,Fitch,AAA,Stable,2014-07-01
USA,Fitch,AAA,Stable,2014-08-01
USA,Fitch,AAA,Stable,2014-09-01
USA,Fitch,AAA,Stable,2014-10-01
USA,Fitch,AAA,Stable,2015-04-01
USA,Fitch,AAA,Stable,2016-04-01
USA,Fitch,AAA,Stable,2016-07-01
USA,Fitch,AAA,Stable,2017-04-01
USA,Fitch,AAA,Stable,2018-05-01
USA,Fitch,AAA,Stable,2019-04-01
USA,Fitch,AAA,Stable,2020-03-01
USA,Fitch,AAA,Stable,2020-03-01
USA,Fitch,AAA,Negative,2020-07-01
USA,Fitch,AAA,Stable,2022-07-01
USA,Fitch,AAA,Negative watch,2023-05-01
USA,Fitch,AA+,Stable,2023-08-01
USA,Fitch,AA+,Stable,2024-03-01
USA,Fitch,AA+,Stable,2024-08-01
USA,Fitch,AA+,Stable,2025-08-01
USA,Moody's,Aaa,Stable,2003-11-01
USA,Moody's,Aaa,Under Review,2011-07-01
USA,Moody's,Aaa,Negative,2011-08-01
USA,Moody's,Aaa,Stable,2013-07-01
USA,Moody's,Aaa,Stable,2018-04-01
USA,Moody's,AAA,Stable,2020-06-01
USA,Moody's,Aaa,Stable,2022-06-01
USA,Moody's,Aaa,Negative,2023-11-01
USA,Moody's,Aa1,Stable,2025-05-01
USA,S&P,AAA,Stable,1991-09-01
USA,S&P,AAA,Stable,1992-07-01
USA,S&P,AAA,Stable,2005-11-01
USA,S&P,AAA,Negative,2011-04-01
USA,S&P,AAA,Negative watch,2011-07-01
USA,S&P,AA+,Negative,2011-08-01
USA,S&P,AA+,Stable,2013-06-01
