Country,Agency,Rating,Outlook,Date
Uzbekistan,Fitch,BB-,Stable,2018-12-01
Uzbekistan,Fitch,BB-,Stable,2019-05-01
Uzbekistan,Fitch,BB-,Stable,2019-10-01
Uzbekistan,Fitch,BB-,Stable,2020-04-01
Uzbekistan,Fitch,BB-,Stable,2020-04-01
Uzbekistan,Fitch,BB-,Stable,2020-10-01
Uzbekistan,Fitch,BB-,Stable,2021-04-01
Uzbekistan,Fitch,BB-,Stable,2021-10-01
Uzbekistan,Fitch,BB-,Stable,2022-04-01
Uzbekistan,Fitch,BB-,Stable,2022-09-01
Uzbekistan,Fitch,BB-,Stable,2023-03-01
Uzbekistan,Fitch,BB-,Stable,2023-08-01
Uzbekistan,Fitch,BB-,Stable,2024-02-01
Uzbekistan,Fitch,BB-,Stable,2024-08-01
Uzbekistan,Fitch,BB,Stable,2025-06-01
Uzbekistan,Fitch,BB,Positive,2026-06-01
Uzbekistan,Moody's,B1,Positive,2021-07-01
Uzbekistan,Moody's,Ba3,Stable,2023-01-01
Uzbekistan,Moody's,Ba3,Positive,2025-06-01
Uzbekistan,S&P,BB-,Negative,2020-06-01
Uzbekistan,S&P,BB-,Negative,2021-06-01
Uzbekistan,S&P,BB-,Positive,2025-05-01
Uzbekistan,S&P,BB,Stable,2025-11-01
Uzbekistan,S&P,BB,NR,2026-04-01
