Country,Agency,Rating,Outlook,Date
Venezuela,Fitch,BB-,Negative,1999-09-01
Venezuela,Fitch,BB-,Stable,2000-09-01
Venezuela,Fitch,BB-,Negative,2001-12-01
Venezuela,Fitch,B+,Negative,2002-02-01
Venezuela,Fitch,B,Negative,2002-06-01
Venezuela,Fitch,CCC+,Negative,2003-01-01
Venezuela,Fitch,B-,Stable,2003-06-01
Venezuela,Fitch,B+,Stable,2004-09-01
Venezuela,Fitch,BB-,Stable,2005-11-01
Venezuela,Fitch,BB-,Negative,2007-10-01
Venezuela,Fitch,B+,Stable,2008-12-01
Venezuela,Fitch,B+,Stable,2011-10-01
Venezuela,Fitch,B+,Negative,2012-04-01
Venezuela,Fitch,B+,Negative,2013-02-01
Venezuela,Fitch,B,Negative,2014-02-01
Venezuela,Fitch,WD,NR,2019-06-01
Venezuela,Moody's,B2,Negative,2002-02-01
Venezuela,Moody's,Caa1,Stable,2003-11-01
Venezuela,Moody's,B2,Under Review,2008-09-01
Venezuela,Moody's,B2,Stable,2009-01-01
Venezuela,Moody's,B2,Negative,2013-01-01
Venezuela,Moody's,Caa1,Negative,2013-12-01
Venezuela,Moody's,Caa3,Stable,2015-01-01
Venezuela,Moody's,Caa3,Negative,2016-03-01
Venezuela,Moody's,C,Stable,2018-03-01
Venezuela,Moody's,WR,NR,2019-08-01
Venezuela,S&P,B+,Stable,1989-06-01
Venezuela,S&P,B+,Positive,1990-11-01
Venezuela,S&P,BB,Positive,1991-07-01
Venezuela,S&P,BB,Stable,1992-11-01
Venezuela,S&P,BB,Negative,1993-04-01
Venezuela,S&P,BB-,Negative watch,1994-03-01
Venezuela,S&P,BB-,Negative watch,1994-06-01
Venezuela,S&P,B+,Negative,1994-07-01
Venezuela,S&P,B+,Negative watch,1995-11-01
Venezuela,S&P,B,Negative,1996-02-01
Venezuela,S&P,B,Stable,1996-06-01
Venezuela,S&P,B,Positive,1997-01-01
Venezuela,S&P,B+,Stable,1997-06-01
Venezuela,S&P,B+,Negative,1998-08-01
Venezuela,S&P,B,Stable,1999-12-01
Venezuela,S&P,B,Negative watch,2002-02-01
Venezuela,S&P,B,Negative,2002-03-01
Venezuela,S&P,B-,Negative,2002-09-01
Venezuela,S&P,CCC+,Negative,2002-12-01
Venezuela,S&P,CCC+,Stable,2003-04-01
Venezuela,S&P,B-,Stable,2003-07-01
Venezuela,S&P,B,Stable,2004-08-01
Venezuela,S&P,B,Stable,2005-03-01
Venezuela,S&P,B,Stable,2005-03-01
Venezuela,S&P,B+,Stable,2005-08-01
Venezuela,S&P,B+,Stable,2005-11-01
Venezuela,S&P,BB-,Stable,2006-02-01
Venezuela,S&P,BB-,Positive,2006-10-01
Venezuela,S&P,BB-,Stable,2007-01-01
Venezuela,S&P,BB-,Negative,2008-12-01
Venezuela,S&P,BB-,Stable,2010-01-01
Venezuela,S&P,B+,Stable,2011-08-01
Venezuela,S&P,B+,Negative,2013-04-01
Venezuela,S&P,B,Negative,2013-06-01
Venezuela,S&P,B-,Negative,2013-12-01
Venezuela,S&P,CCC+,Negative,2014-09-01
Venezuela,S&P,CCC,Negative,2015-02-01
Venezuela,S&P,CCC-,Negative,2017-07-01
