Country,Agency,Rating,Outlook,Date
Vietnam,Fitch,BB-,Stable,2016-05-01
Vietnam,Fitch,BB-,Stable,2016-07-01
Vietnam,Fitch,BB-,Positive,2017-05-01
Vietnam,Fitch,BB,Stable,2018-05-01
Vietnam,Fitch,BB,Positive,2019-05-01
Vietnam,Fitch,BB,Stable,2020-04-01
Vietnam,Fitch,BB,Stable,2020-04-01
Vietnam,Fitch,BB,Positive,2021-04-01
Vietnam,Fitch,BB,Positive,2022-03-01
Vietnam,Fitch,BB,Positive,2022-10-01
Vietnam,Fitch,BB,Positive,2023-05-01
Vietnam,Fitch,BB+,Positive,2023-12-01
Vietnam,Fitch,BB+,Stable,2024-07-01
Vietnam,Fitch,BB+,Stable,2025-06-01
Vietnam,Fitch,BB+,Stable,2026-01-01
Vietnam,Moody's,Ba3,Negative,1999-03-01
Vietnam,Moody's,Ba3,Stable,2001-04-01
Vietnam,Moody's,Ba3,Positive,2007-03-01
Vietnam,Moody's,Ba3,Negative,2008-06-01
Vietnam,Moody's,B1,Negative,2010-12-01
Vietnam,Moody's,B2,Stable,2012-09-01
Vietnam,Moody's,B1,Stable,2014-07-01
Vietnam,Moody's,B1,Positive,2017-04-01
Vietnam,Moody's,Ba3,Stable,2018-08-01
Vietnam,Moody's,Ba3,Negative watch,2019-10-01
Vietnam,Moody's,Ba3,Negative,2019-12-01
Vietnam,Moody's,Ba3,Negative,2020-01-01
Vietnam,Moody's,Ba3,Negative,2020-01-01
Vietnam,Moody's,Ba3,Positive,2021-03-01
Vietnam,Moody's,Ba2,Stable,2022-09-01
Vietnam,Moody's,Ba2,Stable,2024-08-01
Vietnam,Moody's,Ba2,Stable,2025-06-01
Vietnam,S&P,BB-,Stable,2002-05-01
Vietnam,S&P,BB-,Positive,2005-10-01
Vietnam,S&P,BB-,Positive,2005-11-01
Vietnam,S&P,BB-,Positive,2005-11-01
Vietnam,S&P,BB,Stable,2006-09-01
Vietnam,S&P,BB,Negative,2008-05-01
Vietnam,S&P,BB-,Negative,2010-12-01
Vietnam,S&P,BB-,Negative,2011-08-01
Vietnam,S&P,BB-,Stable,2012-06-01
Vietnam,S&P,BB,Developing,2019-04-01
Vietnam,S&P,NR,NR,2020-01-01
Vietnam,S&P,BB,Stable,2020-01-01
Vietnam,S&P,NR,NR,2020-01-01
Vietnam,S&P,NR,NR,2020-02-01
Vietnam,S&P,NR,NR,2020-02-01
Vietnam,S&P,BB,Positive,2021-05-01
