Country,Agency,Rating,Outlook,Date
Zambia,Fitch,B+,Stable,2011-03-01
Zambia,Fitch,B+,Negative,2012-03-01
Zambia,Fitch,B+,Negative,2013-02-01
Zambia,Fitch,B,Stable,2013-10-01
Zambia,Fitch,B,Stable,2014-03-01
Zambia,Fitch,B,Stable,2014-04-01
Zambia,Fitch,B,Negative,2016-02-01
Zambia,Fitch,B,Negative,2016-07-01
Zambia,Fitch,B,Negative,2017-02-01
Zambia,Fitch,B,Negative,2017-11-01
Zambia,Fitch,B,Negative,2018-07-01
Zambia,Fitch,B-,Developing,2018-10-01
Zambia,Fitch,CCC,Developing,2019-06-01
Zambia,Fitch,CCC,Developing,2019-12-01
Zambia,Fitch,C,NR,2020-09-01
Zambia,Fitch,CCC+,NR,2023-12-01
Zambia,Fitch,RD,NR,2024-12-01
Zambia,Fitch,B-,Stable,2025-11-01
Zambia,Moody's,B1,Stable,2012-11-01
Zambia,Moody's,B1,Negative,2015-05-01
Zambia,Moody's,B2,Stable,2015-09-01
Zambia,Moody's,B3,Negative,2016-04-01
Zambia,Moody's,B3,Negative,2018-01-01
Zambia,Moody's,Caa1,Stable,2018-07-01
Zambia,Moody's,Caa2,Negative,2019-05-01
Zambia,Moody's,Ca-,Stable,2020-04-01
Zambia,Moody's,Ca-,Stable,2020-04-01
Zambia,Moody's,CCC-,Negative,2020-09-01
Zambia,Moody's,Ca,Stable,2022-11-01
Zambia,Moody's,Caa2,Positive,2025-04-01
Zambia,S&P,B+,Stable,2011-03-01
Zambia,S&P,B+,Negative,2013-10-01
Zambia,S&P,B,Stable,2015-07-01
Zambia,S&P,B,Negative,2016-03-01
Zambia,S&P,B,Stable,2017-08-01
Zambia,S&P,B-,Stable,2018-08-01
Zambia,S&P,B-,Negative,2019-02-01
Zambia,S&P,CCC+,Stable,2019-08-01
Zambia,S&P,CCC+,Stable,2025-11-01
